candidate_id,batch_id,request_id,job_position,job_category,prajabatan_batch,ojt_start_date,ojt_end_date,unit_placement,region,mentor,ojt_status,employment_status
C00011,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 4,Completed,Permanent
C00016,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 32,Completed,Permanent
C00017,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 14,Completed,Permanent
C00020,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 70,Completed,Permanent
C00022,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 55,Completed,Permanent
C00032,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 12,Completed,Permanent
C00035,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 65,Completed,Permanent
C00039,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 72,Completed,Permanent
C00045,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 70,Completed,Permanent
C00052,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 58,Completed,Permanent
C00055,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 1,Completed,Permanent
C00059,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 21,On Going,On OJT
C00062,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 44,Completed,Permanent
C00067,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 28,Completed,Permanent
C00069,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 44,On Going,On OJT
C00071,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 49,Completed,Permanent
C00072,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 45,Completed,Permanent
C00074,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 6,Completed,Permanent
C00078,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 69,Completed,Permanent
C00079,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 49,Completed,Permanent
C00085,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 38,Completed,Permanent
C00087,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 80,On Going,On OJT
C00092,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 47,On Going,On OJT
C00093,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 9,Completed,Permanent
C00097,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 30,Completed,Permanent
C00105,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 11,On Going,On OJT
C00113,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 13,On Going,On OJT
C00114,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 59,Completed,Permanent
C00116,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 47,Completed,Permanent
C00118,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 46,Completed,Permanent
C00120,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 35,Completed,Permanent
C00122,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 10,Completed,Permanent
C00127,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 22,Completed,Permanent
C00128,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 32,Completed,Permanent
C00136,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 49,Completed,Permanent
C00142,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 72,Completed,Permanent
C00145,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 42,Completed,Permanent
C00148,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 8,On Going,On OJT
C00156,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 5,Completed,Permanent
C00160,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 52,On Going,On OJT
C00161,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 28,Completed,Permanent
C00172,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 73,On Going,On OJT
C00174,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 41,On Going,On OJT
C00175,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 64,Completed,Permanent
C00178,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 59,Completed,Permanent
C00184,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 18,Completed,Permanent
C00185,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 72,Completed,Permanent
C00186,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 75,Completed,Permanent
C00187,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 75,Completed,Permanent
C00188,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 29,Completed,Permanent
C00190,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 18,Resigned,Candidate Withdrawn
C00191,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 12,Completed,Permanent
C00193,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 15,On Going,On OJT
C00197,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 21,Completed,Permanent
C00198,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 55,On Going,On OJT
C00200,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 50,Completed,Permanent
C00202,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 60,Completed,Permanent
C00205,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 71,Completed,Permanent
C00214,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 2,On Going,On OJT
C00218,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 15,Completed,Permanent
C00220,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 69,Completed,Permanent
C00224,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 44,On Going,On OJT
C00225,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 56,Completed,Permanent
C00230,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 1,Completed,Permanent
C00235,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 34,On Going,On OJT
C00240,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 23,Resigned,Candidate Withdrawn
C00241,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 14,Completed,Permanent
C00243,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 39,On Going,On OJT
C00248,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 65,On Going,On OJT
C00254,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 20,Completed,Permanent
C00258,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 21,Completed,Permanent
C00262,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 68,Completed,Permanent
C00263,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 77,On Going,On OJT
C00266,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 3,Completed,Permanent
C00267,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 47,Completed,Permanent
C00269,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 40,On Going,On OJT
C00270,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 31,Completed,Permanent
C00273,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 11,On Going,On OJT
C00274,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 63,Completed,Permanent
