candidate_id,batch_id,tahap_seleksi,start_date,end_date,status
C00001,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00002,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00003,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00003,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00003,B092,Tes TPA,2026-09-15,2026-09-16,Fail
C00004,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00005,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00006,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00006,B092,Tes Akademik,2026-09-13,2026-09-14,Fail
C00007,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00008,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00009,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00009,B092,Tes Akademik,2026-09-13,2026-09-14,Fail
C00010,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00010,B092,Tes Akademik,2026-09-12,2026-09-13,Fail
C00011,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00011,B091,Tes Akademik,2026-05-12,2026-05-13,Pass
C00011,B091,Tes TPA,2026-05-17,2026-05-18,Pass
C00011,B091,Tes English,2026-05-22,2026-05-23,Pass
C00011,B091,Tes Kesehatan,2026-05-30,2026-05-31,Pass
C00011,B091,Wawancara HR,2026-06-06,2026-06-07,Pass
C00012,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00012,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00012,B091,Tes TPA,2026-05-17,2026-05-18,Pass
C00012,B091,Tes English,2026-05-23,2026-05-24,Pass
C00012,B091,Tes Kesehatan,2026-05-31,2026-06-01,Pass
C00012,B091,Wawancara HR,2026-06-07,2026-06-08,Fail
C00013,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00013,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00013,B092,Tes TPA,2026-09-16,2026-09-17,Pass
C00013,B092,Tes English,2026-09-22,2026-09-23,Completed - Waiting Announcement
C00014,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00014,B092,Tes Akademik,2026-09-11,2026-09-12,Pass
