tanggal_kejadian,tahun_gelombang,unit_cakupan,arketipe,tahap,jumlah,rasio_thd_tahap_sebelumnya,media,url,kutipan_verbatim,pejabat_dikutip,tanggal_panen
2025-09-08_2025-09-21,2025,UP3 Biak (Papua),afirmasi_remote,mendaftar,301,,RRI,https://rri.co.id/daerah/1888397/pln-up3-biak-gelar-tes-rekrutmen-pegawai,"Dari total 301 peserta yang mendaftar, sebanyak 155 peserta dinyatakan lulus seleksi administrasi",Silvester Vani Tambingon (Asisten Manajer Transaksi Energi PLN UP3 Biak),2026-08-17
2025-09-08_2025-09-21,2025,UP3 Biak (Papua),afirmasi_remote,lulus_administrasi,155,0.515,RRI,https://rri.co.id/daerah/1888397/pln-up3-biak-gelar-tes-rekrutmen-pegawai,"sebanyak 155 peserta dinyatakan lulus seleksi administrasi",Silvester Vani Tambingon,2026-08-17
2025-10-07,2025,UP3 Biak (Papua),afirmasi_remote,hadir_akademik_inggris,139,0.897,RRI,https://rri.co.id/daerah/1888397/pln-up3-biak-gelar-tes-rekrutmen-pegawai,"Dari 155 peserta yang lulus administrasi, sebanyak 138 orang mengikuti tahapan tes psikotest",Silvester Vani Tambingon,2026-08-17
2025-10-08,2025,UP3 Biak (Papua),afirmasi_remote,hadir_psikologi,138,0.993,RRI,https://rri.co.id/daerah/1888397/pln-up3-biak-gelar-tes-rekrutmen-pegawai,"sedangkan satu peserta tidak hadir tanpa keterangan",Silvester Vani Tambingon,2026-08-17
2025-10-06_2025-10-09,2025,Papua (6 provinsi / 8 kota),afirmasi_remote,lolos_administrasi_regional,1658,,ParaparaTV,https://www.paraparatv.id/2025/10/ikuti-seleksi-pln-1-658-putra-putri-terbaik-papua-ikut-tes-rekrutmen-di-8-kota/,"1.658 peserta yang lolos seleksi administrasi dari enam provinsi di Tanah Papua mengikuti rangkaian Tes Potensi Akademik, Bahasa Inggris, dan Tes Adaptif PLN (TAP) pada 6-9 Oktober 2025 yang tersebar di delapan kota",,2026-08-17
2017-04-03,2017,Yogyakarta (UGM Career Days),campus_hiring,hadir_psikotes,942,,rekrutmen.pln.co.id (artikel),https://rekrutmen.pln.co.id/content/view/Mjk2MTQ5MTc3NTcyOA--/peserta-rekrutmen-pln-antusias-ikuti-psikotest,"942 peserta mengikuti psikotest",Hardian Sakti Laksana (Deputi Manajer Komunikasi dan Bina Lingkungan),2026-08-17
2025-10-05,2025,Nasional (PLN Group),nasional_mandiri,mendaftar,245217,,IDN Times,https://www.idntimes.com/business/economy/rekrutmen-pln-diisi-245-217-pendaftar-kunci-perkuat-sektor-energi-ri-00-brqf5-5tkvh2,"245.217 pelamar",Yusuf Didi Setiarto (Direktur Legal dan Manajemen Human Capital PLN),2026-08-17
2025-09-12,2025,Papua & Papua Barat (UIW),afirmasi_remote,mendaftar_parsial,1186,,KabarPapua/BeritaSatu,https://kabarpapua.co/ribuan-pelamar-antusias-ikuti-rekrutmen-pln-untuk-putra-putri-daerah-papua/,"1.186 pelamar telah melakukan pendaftaran",Diksi Erfani Umar (General Manager PLN UIW Papua dan Papua Barat),2026-08-17
2025-10-07_2025-10-08,2025,Nabire (Papua Tengah),afirmasi_remote,hadir_offline_dari_terdaftar,88,0.830,RRI,https://rri.co.id/daerah/1889148/pln-gelar-seleksi-rekrutmen-putra-putri-asli-papua-2025,"88 dari 106 peserta mengikuti tes secara offline",Riki Nataniel Hutabarat (Ketua Panitia Rekrutmen),2026-08-17
2015-04-25,2015,Medan (test center regional),nasional_mandiri_historis,lulus_administrasi,1700,,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Yang lulus pada tahap ini kira-kira 1.700 peserta",Rahmat Sanjaya (penulis blog, kandidat),2026-08-18
2015-04-25,2015,Medan (test center regional),nasional_mandiri_historis,lulus_gat_tpa,900,0.529,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Dari 1.700 peserta kini yang tersisa kira-kira 900an peserta lagi",Rahmat Sanjaya,2026-08-18
2015-04-26,2015,Medan (test center regional),nasional_mandiri_historis,lulus_akademik_inggris,700,0.778,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Dari 900an peserta kini tinggal 700an peserta lagi",Rahmat Sanjaya,2026-08-18
2015-04-27,2015,Medan (test center regional),nasional_mandiri_historis,lulus_psikotes,495,0.707,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Dari 700an peserta kini yang tersisa 495 peserta",Rahmat Sanjaya,2026-08-18
2015-05-12,2015,Medan (test center regional),nasional_mandiri_historis,lulus_fisik,295,0.596,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Kini yang tersisa tinggal 295 serta lagi dari 495 peserta",Rahmat Sanjaya,2026-08-18
2015-05-25,2015,Medan (test center regional),nasional_mandiri_historis,lulus_lab_kesehatan,138,0.468,Blog pribadi (Rahmat Sanjaya),https://everydayisgood.home.blog/2020/08/17/pengalaman-rekrutmen-pln/,"Dari 295 peserta kini yang tersisa 138 peserta lagi",Rahmat Sanjaya,2026-08-18
