program_id,kode_profesi,angkatan,jenjang,nama_profesi,kota_rekrutmen,tgl_buka,tgl_tutup,min_ipk,program_studi,minimal_ipk,program_title
MjE5MzgxNzU4NTMzOTE2,IP.UM.D3,92,D-III,Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Teknik),Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"TEKNIK ELEKTRO, TEKNIK MESIN, TEKNIK SIPIL",TEKNIK ELEKTRO minimal 3 TEKNIK MESIN minimal 3 TEKNIK SIPIL minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Indonesia Power)
MjE5MzgxNzU4NTMzOTE2,IP.UM.S1,92,S1/D-IV,Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Teknik),Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"DATA SCIENCE, ENERGI BARU TERBARUKAN, KESELAMATAN DAN KESEHATAN KERJA, KONVERSI ENERGI, SAFETY ENGINEERING, TEKNIK ELEKTRO, TEKNIK GEODESI, TEKNIK INDUSTRI, TEKNIK INFORMATIKA, TEKNIK KIMIA, TEKNIK LINGKUNGAN, TEKNIK MATERIAL, TEKNIK MESIN, TEKNIK SIPIL",TEKNIK ELEKTRO minimal 3 TEKNIK MESIN minimal 3 ENERGI BARU TERBARUKAN minimal 3 DATA SCIENCE minimal 3 KESELAMATAN DAN KESEHATAN KERJA minimal 3 KONVERSI ENERGI minimal 3 TEKNIK GEODESI minimal 3 TEKNIK INDUSTRI minimal 3 TEKNIK INFORMATIKA minimal 3 TEKNIK KIMIA minimal 3 TEKNIK LINGKUNGAN minimal 3 TEKNIK SIPIL minimal 3 SAFETY ENGINEERING minimal 3 TEKNIK MATERIAL minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Indonesia Power)
MjE5MzgxNzU4NTMzOTE2,IP.UM.S1.1,92,S1/D-IV,Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Non Teknik),Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"ADMINISTRASI, ADMINISTRASI BISNIS, ADMINISTRASI FISKAL, AKUNTANSI, BISNIS, BISNIS ANALIS, HUBUNGAN MASYARAKAT, KESEHATAN MASYARAKAT K3, KOMUNIKASI, MANAJEMEN, MANAJEMEN BISNIS, PSIKOLOGI",ADMINISTRASI minimal 3 AKUNTANSI minimal 3 BISNIS minimal 3 HUBUNGAN MASYARAKAT minimal 3 KOMUNIKASI minimal 3 MANAJEMEN minimal 3 PSIKOLOGI minimal 3 ADMINISTRASI FISKAL minimal 3 BISNIS ANALIS minimal 3 MANAJEMEN BISNIS minimal 3 KESEHATAN MASYARAKAT K3 minimal 3 ADMINISTRASI BISNIS minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Indonesia Power)
MjE5NDIxNzU4NTM1ODY5,ND.UM.D3,92,D-III,Proyeksi PT PLN Nusa Daya - Lokasi Penempatan Seluruh Indonesia,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"TEKNIK LISTRIK, TEKNIK MESIN",TEKNIK MESIN minimal 3 TEKNIK LISTRIK minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusa Daya)
MjE5NDIxNzU4NTM1ODY5,ND.UM.S1,92,S1/D-IV,Proyeksi PT PLN Nusa Daya - Lokasi Penempatan Seluruh Indonesia,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"AKUNTANSI, KOMUNIKASI, MANAJEMEN, MANAJEMEN BISNIS, MANAJEMEN KEUANGAN, PSIKOLOGI, TEKNIK LISTRIK, TEKNIK MESIN",AKUNTANSI minimal 3 KOMUNIKASI minimal 3 MANAJEMEN minimal 3 PSIKOLOGI minimal 3 MANAJEMEN BISNIS minimal 3 MANAJEMEN KEUANGAN minimal 3 TEKNIK LISTRIK minimal 3 TEKNIK MESIN minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusa Daya)
MjE5NjAxNzU5MjUxMTM5,S1.HK,92,S1/D-IV,Proyeksi PLN GROUP - S1 Hukum - Lokasi Penempatan Seluruh Indonesia,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,HUKUM,HUKUM minimal 3,REKRUTMEN JENJANG S2 & S1 BIDANG HUKUM PLN GROUP TAHUN 2025 (Keterangan Penyetaraan Ijazah Dapat Disampaikan Pada Tahap Seleksi Akhir)
MjE5NjAxNzU5MjUxMTM5,S2.HK,92,S2,Proyeksi PLN GROUP - S2 Hukum/Public Policy Diaspora - Lokasi Pengangkatan Jakarta,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"HUKUM, PUBLIC POLICY",HUKUM minimal 3 PUBLIC POLICY minimal 3,REKRUTMEN JENJANG S2 & S1 BIDANG HUKUM PLN GROUP TAHUN 2025 (Keterangan Penyetaraan Ijazah Dapat Disampaikan Pada Tahap Seleksi Akhir)
MjE5NjAxNzU5MjUxMTM5,S2EX.HK,92,S2,Proyeksi PLN GROUP - S2 Hukum/Non Hukum dengan Latar Belakang S1 Hukum - Lokasi Pengangkatan Jakarta,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3.25,"HUKUM, PROGRAM STUDI LAINNYA NON TEKNIK, PROGRAM STUDI LAINNYA TEKNIK",HUKUM minimal 3.25 PROGRAM STUDI LAINNYA NON TEKNIK minimal 3.25 PROGRAM STUDI LAINNYA TEKNIK minimal 3.25,REKRUTMEN JENJANG S2 & S1 BIDANG HUKUM PLN GROUP TAHUN 2025 (Keterangan Penyetaraan Ijazah Dapat Disampaikan Pada Tahap Seleksi Akhir)
MjE5NTIxNzU5MTUwMDMz,NP.UM.D3,92,D-III,Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,AKUNTANSI,AKUNTANSI minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusantara Power)
MjE5NTIxNzU5MTUwMDMz,NP.UM.S1,92,S1/D-IV,Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,3,"AKUNTANSI, KESELAMATAN DAN KESEHATAN KERJA, KEUANGAN, LINGKUNGAN, LOGISTIK, SUPPLY CHAIN MANAGEMENT, TEKNIK ELEKTRO, TEKNIK INDUSTRI, TEKNIK LINGKUNGAN, TEKNIK MESIN, TEKNIK SIPIL",TEKNIK ELEKTRO minimal 3 TEKNIK MESIN minimal 3 TEKNIK INDUSTRI minimal 3 TEKNIK LINGKUNGAN minimal 3 TEKNIK SIPIL minimal 3 AKUNTANSI minimal 3 KESELAMATAN DAN KESEHATAN KERJA minimal 3 KEUANGAN minimal 3 LINGKUNGAN minimal 3 SUPPLY CHAIN MANAGEMENT minimal 3 LOGISTIK minimal 3,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusantara Power)
