program_id,title,status,jenjang,angkatan,kode_profesi,lokasi_tes,tgl_buka,tgl_tutup,minat_profesi,program_studi,pdf_files,detail_url,listing_page
MjE5MzgxNzU4NTMzOTE2,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Indonesia Power),CLOSED,"D-III, S1/D-IV",92,IP.UM.D3; IP.UM.S1; IP.UM.S1.1,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,"Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Teknik), Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Non Teknik)","TEKNIK ELEKTRO, TEKNIK MESIN, TEKNIK SIPIL, DATA SCIENCE, ENERGI BARU TERBARUKAN, KESELAMATAN DAN KESEHATAN KERJA, KONVERSI ENERGI, SAFETY ENGINEERING, TEKNIK GEODESI, TEKNIK INDUSTRI, TEKNIK INFORMATIKA, TEKNIK KIMIA, TEKNIK LINGKUNGAN, TEKNIK MATERIAL, ADMINISTRASI, ADMINISTRASI BISNIS, ADMINISTRASI FISKAL, AKUNTANSI, BISNIS, BISNIS ANALIS, HUBUNGAN MASYARAKAT, KESEHATAN MASYARAKAT K3, KOMUNIKASI, MANAJEMEN, MANAJEMEN BISNIS, PSIKOLOGI",1759155188_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5MzgxNzU4NTMzOTE2,1
MjE5NDIxNzU4NTM1ODY5,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusa Daya),CLOSED,"D-III, S1/D-IV",92,ND.UM.D3; ND.UM.S1,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,Proyeksi PT PLN Nusa Daya - Lokasi Penempatan Seluruh Indonesia,"TEKNIK LISTRIK, TEKNIK MESIN, AKUNTANSI, KOMUNIKASI, MANAJEMEN, MANAJEMEN BISNIS, MANAJEMEN KEUANGAN, PSIKOLOGI",1759155308_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5NDIxNzU4NTM1ODY5,1
MjE5NTQxNzU5MTUxMDM2,REKRUTMEN PLN GROUP TINGKAT S1/D4 BIDANG MATEMATIKA TAHUN 2025,CLOSED,S1/D-IV,,,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025,Proyeksi PLN GROUP - Lokasi Penempatan Seluruh Indonesia,MATEMATIKA,1759155336_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5NTQxNzU5MTUxMDM2,1
MTE5NDExNzU4NTM1ODEz,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Energi Primer Indonesia),CLOSED,S1/D-IV,,,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025,Proyeksi PT PLN Energi Primer Indonesia - Lokasi Penempatan Seluruh Indonesia,"SUPPLY CHAIN MANAGEMENT, TEKNIK GEOLOGI, TEKNIK INDUSTRI, TEKNIK PERTAMBANGAN",1759155229_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MTE5NDExNzU4NTM1ODEz,1
MjE5NjAxNzU5MjUxMTM5,REKRUTMEN JENJANG S2 & S1 BIDANG HUKUM PLN GROUP TAHUN 2025 (Keterangan Penyetaraan Ijazah Dapat Disampaikan Pada Tahap Seleksi Akhir),CLOSED,"S1/D-IV, S2",92,S1.HK; S2.HK; S2EX.HK,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,"Proyeksi PLN GROUP - S1 Hukum - Lokasi Penempatan Seluruh Indonesia, Proyeksi PLN GROUP - S2 Hukum/Public Policy Diaspora - Lokasi Pengangkatan Jakarta, Proyeksi PLN GROUP - S2 Hukum/Non Hukum dengan Latar Belakang S1 Hukum - Lokasi Pengangkatan Jakarta","HUKUM, PUBLIC POLICY, PROGRAM STUDI LAINNYA NON TEKNIK, PROGRAM STUDI LAINNYA TEKNIK",1759251139_Flyer Rekrutmen Bidang Hukum 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5NjAxNzU5MjUxMTM5,1
MjE5NTIxNzU5MTUwMDMz,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Nusantara Power),CLOSED,"D-III, S1/D-IV",92,NP.UM.D3; NP.UM.S1,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia,"AKUNTANSI, KESELAMATAN DAN KESEHATAN KERJA, KEUANGAN, LINGKUNGAN, LOGISTIK, SUPPLY CHAIN MANAGEMENT, TEKNIK ELEKTRO, TEKNIK INDUSTRI, TEKNIK LINGKUNGAN, TEKNIK MESIN, TEKNIK SIPIL",1759155210_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5NTIxNzU5MTUwMDMz,1
MjE5NDQxNzU4NTM2MDcw,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3 TAHUN 2025 (Penempatan : PT PLN Electricity Services),CLOSED,"D-III, S1/D-IV",92,ES.UM.D3; ES.UM.S1,Seluruh Indonesia,01 Oktober 2025,05 Oktober 2025 23:59 WIB,Proyeksi PT PLN Electricity Services - Lokasi Penempatan Seluruh Indonesia,"ADMINISTRASI BISNIS, KEUANGAN, TEKNIK ELEKTRO, TEKNIK INFORMATIKA, MANAJEMEN",1759155279_Rekrutmen PLN Nasional 2025.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MjE5NDQxNzU4NTM2MDcw,1
MTE5MDExNzU3MjI5MTI0,REKRUTMEN PUTRA-PUTRI ASLI PAPUA PLN GROUP TAHUN 2025 LOKASI MERAUKE,CLOSED,"D-III, S1/D-IV",91,IP.OAP.D3; IP.OAP.S1; NP.OAP.S1; PLN.OAP.D3; PLN.OAP.S1,Merauke,08 September 2025,21 September 2025 23:59 WIB,"Proyeksi PT PLN (PERSERO) - Lokasi Penempatan Seluruh Indonesia, Proyeksi PT PLN Indonesia Power - Pengangkatan Di Papua, Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia","ADMINISTRASI, AKUNTANSI, MANAJEMEN, PROGRAM STUDI LAINNYA NON TEKNIK, PROGRAM STUDI LAINNYA TEKNIK, TEKNIK ELEKTRO, TEKNIK INDUSTRI, TEKNIK SIPIL, BISNIS, HUBUNGAN MASYARAKAT, HUKUM, KESELAMATAN DAN KESEHATAN KERJA, KOMUNIKASI, KONVERSI ENERGI, PSIKOLOGI, TEKNIK MESIN",1757229124_REKRUTMEN OAP 2025 PROMO.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MTE5MDExNzU3MjI5MTI0,1
MTE5MTcxNzU3MjI5NjAx,REKRUTMEN PUTRA-PUTRI ASLI PAPUA PLN GROUP TAHUN 2025 LOKASI WAMENA,CLOSED,"D-III, S1/D-IV",91,IP.OAP.D3; IP.OAP.S1; NP.OAP.S1; PLN.OAP.D3; PLN.OAP.S1,Wamena,08 September 2025,21 September 2025 23:59 WIB,"Proyeksi PT PLN (PERSERO) - Lokasi Penempatan Seluruh Indonesia, Proyeksi PT PLN Indonesia Power - Pengangkatan Di Papua, Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia","ADMINISTRASI, AKUNTANSI, MANAJEMEN, PROGRAM STUDI LAINNYA NON TEKNIK, PROGRAM STUDI LAINNYA TEKNIK, TEKNIK ELEKTRO, TEKNIK INDUSTRI, TEKNIK SIPIL, BISNIS, HUBUNGAN MASYARAKAT, HUKUM, KESELAMATAN DAN KESEHATAN KERJA, KOMUNIKASI, KONVERSI ENERGI, PSIKOLOGI, TEKNIK MESIN",1757229610_REKRUTMEN OAP 2025 PROMO.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MTE5MTcxNzU3MjI5NjAx,2
MTE5MTMxNzU3MjI5NTA5,REKRUTMEN PUTRA-PUTRI ASLI PAPUA PLN GROUP TAHUN 2025 LOKASI TIMIKA,CLOSED,"D-III, S1/D-IV",91,IP.OAP.D3; IP.OAP.S1; NP.OAP.S1; PLN.OAP.D3; PLN.OAP.S1,Timika,08 September 2025,21 September 2025 23:59 WIB,"Proyeksi PT PLN (PERSERO) - Lokasi Penempatan Seluruh Indonesia, Proyeksi PT PLN Indonesia Power - Pengangkatan Di Papua, Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia","ADMINISTRASI, AKUNTANSI, MANAJEMEN, PROGRAM STUDI LAINNYA NON TEKNIK, PROGRAM STUDI LAINNYA TEKNIK, TEKNIK ELEKTRO, TEKNIK INDUSTRI, TEKNIK SIPIL, BISNIS, HUBUNGAN MASYARAKAT, HUKUM, KESELAMATAN DAN KESEHATAN KERJA, KOMUNIKASI, KONVERSI ENERGI, PSIKOLOGI, TEKNIK MESIN",1757229509_REKRUTMEN OAP 2025 PROMO.pdf,https://rekrutmen.pln.co.id/vacancy/site/view/id/MTE5MTMxNzU3MjI5NTA5,2
