nama_posisi,jenjang_utama,level_utama,jenjang_lain,jumlah_pegawai,jumlah_unit_induk
ASSISTANT MANAGER ADMINISTRASI KONTRAK,G3,13,,3,3
ASSISTANT MANAGER ADMINISTRASI KONTRAK PEMBANGKIT DAN JARINGAN,G3,13,,1,1
ASSISTANT MANAGER ADMINISTRASI PELANGGAN,G3,13,,22,22
ASSISTANT MANAGER ADMINISTRASI TEKNIK,G3,13,,11,11
ASSISTANT MANAGER AKUNTANSI,G3,13,,4,4
ASSISTANT MANAGER AKUNTANSI AT DAN PDP,G3,13,,28,28
ASSISTANT MANAGER AKUNTANSI UMUM DAN BIAYA,G3,13,,28,28
"ASSISTANT MANAGER AKUNTANSI, PAJAK DAN ASURANSI",G3,13,,1,1
ASSISTANT MANAGER ANALISA DAN EVALUASI OPERASI SISTEM,G3,13,,2,2
ASSISTANT MANAGER ANALISIS DAN EVALUASI OPERASI SISTEM,G3,13,,1,1
ASSISTANT MANAGER ANALISIS DAN EVALUASI SISTEM PEMBANGKITAN,G3,14,,1,1
ASSISTANT MANAGER ANALISIS DAN EVALUASI SISTEM PENYALURAN,G3,14,,1,1
ASSISTANT MANAGER ANGGARAN,G3,13,,11,11
ASSISTANT MANAGER APLIKASI SCADA,G3,13,,1,1
ASSISTANT MANAGER ASESMEN GI DAN GIS,G3,13,,4,3
ASSISTANT MANAGER ASESMEN JARINGAN DAN KABEL,G3,13,,4,3
ASSISTANT MANAGER ASESMEN PROTEKSI DAN CATU DAYA,G3,13,,4,3
ASSISTANT MANAGER ASET PROPERTI,G3,13,,27,27
ASSISTANT MANAGER ASET PROPERTI DAN UMUM,G3,13,,3,3
ASSISTANT MANAGER AUTOMATIC METER READING (AMR),G3,13,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAKARTA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAWA BARAT,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAWA TIMUR,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 KALIMANTAN TIMUR DAN KALIMANTAN UTARA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 MALUKU,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 NUSA TENGGARA BARAT,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 RIAU DAN KEPULAUAN RIAU,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 SUMATERA UTARA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAKARTA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAWA BARAT,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAWA TIMUR,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 KALIMANTAN TIMUR DANKALIMANTAN UTARA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 MALUKU,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 NUSA TENGGARA BARAT,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 RIAU DAN KEPULAUAN RIAU,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 SUMATERA UTARA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI BALI,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI BANGKA BELITUNG,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI JAWA TENGAH DAN D.I.YOGYAKARTA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI KALIMANTAN SELATAN,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI LAMPUNG,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SULAWESI SELATAN,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SULAWESI UTARA,G3,14,,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SUMATERA SELATAN,G3,14,,1,1
ASSISTANT MANAGER COACHING MANAGEMENT,G3,13,,1,1
ASSISTANT MANAGER DATA METER,G3,13,,1,1
ASSISTANT MANAGER DESAIN KONSTRUKSI,G3,13,,1,1
ASSISTANT MANAGER DIGITAL SERVICE DAN CUSTOMER EXPERIENCE,G3,13,,22,22
"ASSISTANT MANAGER EFISIENSI, PENGUKURAN DAN MUTU SISTEM DISTRIBUSI",G3,13,,1,1
ASSISTANT MANAGER ELEKTROMEKANIK,G3,13,,1,1
ASSISTANT MANAGER ENJINIRING,G3,14,,8,6
ASSISTANT MANAGER ENJINIRING SIPIL,G3,13,,3,3
ASSISTANT MANAGER EVALUASI SISTEM,G3,13,,4,4
ASSISTANT MANAGER FASILITAS OPERASI,G3,14,,34,25
ASSISTANT MANAGER FASILITAS OPERASI BANTEN,G3,14,,1,1
ASSISTANT MANAGER FASILITAS OPERASI DKI JAKARTA,G3,14,,1,1
ASSISTANT MANAGER FASILITAS PEMELIHARAAN,G3,13,,2,2
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID ACEH,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID BALI,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAKARTA RAYA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA BARAT,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TENGAH DAN D.I. YOGYAKARTA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TIMUR,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALBAR,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALSELTENG,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALTIMRA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID LAMPUNG,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID RIAU DAN KEPRI,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID S2JB,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULSELRABAR,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULUTTENGGO,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA BARAT,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA UTARA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B KALIMANTAN,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SULAWESI,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SUMATERA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBB,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBT,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBTB,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW MALUKU DAN MALUKU UTARA,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTB,G3,14,,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTT,G3,14,,1,1
