nama_posisi,kelompok_jabatan,fungsi,jenjang_utama,level_utama,bidang,sub_bidang,bidang_pembidangan,kata_kunci_pemicu,is_entry_level,jumlah_pegawai,jumlah_unit_induk
ASSISTANT MANAGER ADMINISTRASI KONTRAK,ASSISTANT MANAGER,ADMINISTRASI KONTRAK,G3,13,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,KONTRAK,0,3,3
ASSISTANT MANAGER ADMINISTRASI KONTRAK PEMBANGKIT DAN JARINGAN,ASSISTANT MANAGER,ADMINISTRASI KONTRAK PEMBANGKIT DAN JARINGAN,G3,13,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKIT,0,1,1
ASSISTANT MANAGER ADMINISTRASI PELANGGAN,ASSISTANT MANAGER,ADMINISTRASI PELANGGAN,G3,13,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,PELANGGAN,0,22,22
ASSISTANT MANAGER ADMINISTRASI TEKNIK,ASSISTANT MANAGER,ADMINISTRASI TEKNIK,G3,13,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,ADMINISTRASI,0,11,11
ASSISTANT MANAGER AKUNTANSI,ASSISTANT MANAGER,AKUNTANSI,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,AKUNTANSI,0,4,4
ASSISTANT MANAGER AKUNTANSI AT DAN PDP,ASSISTANT MANAGER,AKUNTANSI AT DAN PDP,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,AKUNTANSI,0,28,28
ASSISTANT MANAGER AKUNTANSI UMUM DAN BIAYA,ASSISTANT MANAGER,AKUNTANSI UMUM DAN BIAYA,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,AKUNTANSI,0,28,28
"ASSISTANT MANAGER AKUNTANSI, PAJAK DAN ASURANSI",ASSISTANT MANAGER,"AKUNTANSI, PAJAK DAN ASURANSI",G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,AKUNTANSI,0,1,1
ASSISTANT MANAGER ANALISA DAN EVALUASI OPERASI SISTEM,ASSISTANT MANAGER,ANALISA DAN EVALUASI OPERASI SISTEM,G3,13,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,OPERASI SISTEM,0,2,2
ASSISTANT MANAGER ANALISIS DAN EVALUASI OPERASI SISTEM,ASSISTANT MANAGER,ANALISIS DAN EVALUASI OPERASI SISTEM,G3,13,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,OPERASI SISTEM,0,1,1
ASSISTANT MANAGER ANALISIS DAN EVALUASI SISTEM PEMBANGKITAN,ASSISTANT MANAGER,ANALISIS DAN EVALUASI SISTEM PEMBANGKITAN,G3,14,TEKNIK,Pembangkitan,Pembangkitan,PEMBANGKITAN,0,1,1
ASSISTANT MANAGER ANALISIS DAN EVALUASI SISTEM PENYALURAN,ASSISTANT MANAGER,ANALISIS DAN EVALUASI SISTEM PENYALURAN,G3,14,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,PENYALURAN,0,1,1
ASSISTANT MANAGER ANGGARAN,ASSISTANT MANAGER,ANGGARAN,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,ANGGARAN,0,11,11
ASSISTANT MANAGER APLIKASI SCADA,ASSISTANT MANAGER,APLIKASI SCADA,G3,13,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,SCADA,0,1,1
ASSISTANT MANAGER ASESMEN GI DAN GIS,ASSISTANT MANAGER,ASESMEN GI DAN GIS,G3,13,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,ASESMEN GI,0,4,3
ASSISTANT MANAGER ASESMEN JARINGAN DAN KABEL,ASSISTANT MANAGER,ASESMEN JARINGAN DAN KABEL,G3,13,TEKNIK,Distribusi,Distribusi,JARINGAN,0,4,3
ASSISTANT MANAGER ASESMEN PROTEKSI DAN CATU DAYA,ASSISTANT MANAGER,ASESMEN PROTEKSI DAN CATU DAYA,G3,13,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,PROTEKSI,0,4,3
ASSISTANT MANAGER ASET PROPERTI,ASSISTANT MANAGER,ASET PROPERTI,G3,13,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,ASET,0,27,27
ASSISTANT MANAGER ASET PROPERTI DAN UMUM,ASSISTANT MANAGER,ASET PROPERTI DAN UMUM,G3,13,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,UMUM,0,3,3
ASSISTANT MANAGER AUTOMATIC METER READING (AMR),ASSISTANT MANAGER,AUTOMATIC METER READING (AMR),G3,13,TEKNIK,Distribusi,Distribusi,AUTOMATIC METER READING,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAKARTA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 JAKARTA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAWA BARAT,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 JAWA BARAT,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 JAWA TIMUR,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 JAWA TIMUR,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 KALIMANTAN TIMUR DAN KALIMANTAN UTARA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 KALIMANTAN TIMUR DAN KALIMANTAN UTARA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 MALUKU,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 MALUKU,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 NUSA TENGGARA BARAT,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 NUSA TENGGARA BARAT,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 RIAU DAN KEPULAUAN RIAU,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 RIAU DAN KEPULAUAN RIAU,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 1 SUMATERA UTARA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 1 SUMATERA UTARA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAKARTA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 JAKARTA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAWA BARAT,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 JAWA BARAT,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 JAWA TIMUR,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 JAWA TIMUR,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 KALIMANTAN TIMUR DANKALIMANTAN UTARA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 KALIMANTAN TIMUR DANKALIMANTAN UTARA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 MALUKU,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 MALUKU,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 NUSA TENGGARA BARAT,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 NUSA TENGGARA BARAT,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 RIAU DAN KEPULAUAN RIAU,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 RIAU DAN KEPULAUAN RIAU,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI 2 SUMATERA UTARA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI 2 SUMATERA UTARA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI BALI,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI BALI,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI BANGKA BELITUNG,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI BANGKA BELITUNG,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI JAWA TENGAH DAN D.I.YOGYAKARTA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI JAWA TENGAH DAN D.I.YOGYAKARTA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI KALIMANTAN SELATAN,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI KALIMANTAN SELATAN,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI LAMPUNG,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI LAMPUNG,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SULAWESI SELATAN,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI SULAWESI SELATAN,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SULAWESI UTARA,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI SULAWESI UTARA,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER BANTUAN HUKUM DAN REGULASI SUMATERA SELATAN,ASSISTANT MANAGER,BANTUAN HUKUM DAN REGULASI SUMATERA SELATAN,G3,14,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,HUKUM,0,1,1
ASSISTANT MANAGER COACHING MANAGEMENT,ASSISTANT MANAGER,COACHING MANAGEMENT,G3,13,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,COACHING,0,1,1
ASSISTANT MANAGER DATA METER,ASSISTANT MANAGER,DATA METER,G3,13,TEKNIK,Distribusi,Distribusi,METER,0,1,1
ASSISTANT MANAGER DESAIN KONSTRUKSI,ASSISTANT MANAGER,DESAIN KONSTRUKSI,G3,13,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,KONSTRUKSI,0,1,1
