kandidat_id,kategori_sertifikasi,tahun,skor
4,TOEFL,2019,61
4,TOEFL,2019,88
4,IELTS,2019,93
9,Sertifikat Kompetensi,2023,64
9,Sertifikat Kompetensi,2024,64
12,TOEFL,2020,75
12,IELTS,2021,80
12,IELTS,2020,78
16,Sertifikat Kompetensi,2024,71
16,Sertifikasi K3,2025,
16,IELTS,2025,80
27,IELTS,2025,67
27,Microsoft Office,2025,73
27,Sertifikasi K3,2024,
35,Pelatihan Bahasa,2022,67
40,TOEIC,2023,73
40,TOEFL,2024,68
48,Sertifikat Kompetensi,2022,72
48,IELTS,2021,98
52,Sertifikasi K3,2020,
55,Sertifikat Kompetensi,2019,71
59,Microsoft Office,2023,84
59,Pelatihan Bahasa,2024,87
60,TOEIC,2025,85
60,Pelatihan Bahasa,2025,86
67,Pelatihan Bahasa,2024,66
67,Microsoft Office,2024,71
67,IELTS,2025,98
68,Pelatihan Bahasa,2023,85
75,Pelatihan Bahasa,2021,67
86,Pelatihan Bahasa,2022,63
86,Pelatihan Bahasa,2021,66
86,TOEFL,2022,87
89,Sertifikat Kompetensi,2022,96
92,Microsoft Office,2021,67
103,IELTS,2021,73
103,TOEIC,2020,70
104,IELTS,2025,93
104,Pelatihan Bahasa,2025,77
104,Sertifikat Kompetensi,2023,94
108,Sertifikasi K3,2024,
109,Microsoft Office,2025,89
109,Sertifikasi K3,2024,
109,Sertifikasi K3,2023,
112,Sertifikat Kompetensi,2022,72
112,Sertifikasi K3,2021,
112,Microsoft Office,2023,70
121,Microsoft Office,2020,64
121,TOEFL,2022,64
126,Sertifikasi K3,2023,
126,Pelatihan Bahasa,2025,84
141,TOEIC,2019,87
142,Microsoft Office,2019,72
157,Microsoft Office,2019,68
157,Sertifikat Kompetensi,2018,94
157,IELTS,2017,88
158,TOEFL,2023,62
158,Microsoft Office,2021,82
162,IELTS,2022,92
162,TOEIC,2020,96
164,IELTS,2023,66
164,Sertifikasi K3,2023,
164,Sertifikat Kompetensi,2025,64
168,IELTS,2024,78
183,Sertifikat Kompetensi,2023,77
183,TOEIC,2023,63
183,TOEIC,2021,96
185,Pelatihan Bahasa,2020,85
185,TOEFL,2020,66
185,Sertifikasi K3,2021,
187,Sertifikasi K3,2017,
187,Microsoft Office,2019,77
187,TOEIC,2019,81
189,TOEIC,2023,88
193,TOEIC,2023,68
193,Pelatihan Bahasa,2021,93
196,Sertifikasi K3,2022,
196,Pelatihan Bahasa,2022,72
198,Pelatihan Bahasa,2022,90
201,TOEIC,2023,85
211,TOEIC,2020,72
211,TOEFL,2022,97
216,Sertifikasi K3,2025,
216,Pelatihan Bahasa,2023,92
216,Sertifikat Kompetensi,2024,95
219,Microsoft Office,2023,78
219,Pelatihan Bahasa,2023,89
219,Sertifikat Kompetensi,2024,77
230,Sertifikat Kompetensi,2021,85
230,TOEIC,2021,83
230,TOEFL,2023,99
232,Pelatihan Bahasa,2021,89
232,TOEFL,2022,98
232,IELTS,2022,97
239,IELTS,2025,76
240,TOEIC,2017,81
240,Sertifikat Kompetensi,2018,78
251,Sertifikasi K3,2017,
268,Sertifikasi K3,2021,
270,TOEIC,2020,89
270,Microsoft Office,2021,73
270,TOEFL,2020,80
274,Sertifikasi K3,2023,
278,Sertifikasi K3,2020,
281,IELTS,2022,81
281,Microsoft Office,2021,77
282,TOEIC,2020,88
282,Pelatihan Bahasa,2022,86
282,Sertifikat Kompetensi,2020,98
286,Pelatihan Bahasa,2021,87
305,TOEFL,2025,81
305,IELTS,2023,84
312,Pelatihan Bahasa,2017,76
312,TOEIC,2018,84
328,Pelatihan Bahasa,2023,82
335,TOEIC,2020,89
335,TOEFL,2020,95
335,TOEFL,2021,77
342,IELTS,2022,86
344,Pelatihan Bahasa,2022,61
349,Microsoft Office,2022,95
362,Pelatihan Bahasa,2021,75
362,Pelatihan Bahasa,2021,96
363,Pelatihan Bahasa,2023,99
366,IELTS,2024,69
366,IELTS,2023,75
376,Microsoft Office,2022,79
376,Microsoft Office,2020,89
378,Microsoft Office,2019,95
378,IELTS,2018,72
380,Sertifikat Kompetensi,2025,61
380,IELTS,2025,66
381,Pelatihan Bahasa,2025,65
382,Sertifikasi K3,2024,
382,Pelatihan Bahasa,2025,71
382,IELTS,2025,90
393,Pelatihan Bahasa,2023,96
393,IELTS,2023,92
393,TOEFL,2023,88
396,Microsoft Office,2022,86
396,TOEIC,2020,92
398,Microsoft Office,2020,75
398,Pelatihan Bahasa,2021,77
398,Pelatihan Bahasa,2021,69
401,Sertifikat Kompetensi,2023,92
401,TOEIC,2022,82
402,TOEIC,2025,80
407,Microsoft Office,2022,72
410,TOEIC,2023,62
410,Pelatihan Bahasa,2024,90
410,Pelatihan Bahasa,2023,94
415,Sertifikat Kompetensi,2024,94
415,Pelatihan Bahasa,2024,62
415,Sertifikasi K3,2023,
451,IELTS,2023,85
457,Sertifikasi K3,2025,
458,Pelatihan Bahasa,2023,93
462,Sertifikat Kompetensi,2022,88
462,IELTS,2021,67
462,Sertifikasi K3,2023,
466,Pelatihan Bahasa,2021,86
466,Microsoft Office,2020,81
469,Microsoft Office,2022,99
469,Microsoft Office,2021,69
469,TOEFL,2021,61
478,TOEIC,2025,69
488,Sertifikat Kompetensi,2019,74
488,Microsoft Office,2017,62
500,Microsoft Office,2025,97
519,TOEFL,2021,88
521,IELTS,2023,92
521,TOEIC,2024,74
521,TOEIC,2023,88
522,IELTS,2024,66
522,Sertifikasi K3,2025,
524,Sertifikat Kompetensi,2020,72
526,TOEIC,2020,86
531,IELTS,2025,66
531,IELTS,2024,66
531,IELTS,2023,84
534,Pelatihan Bahasa,2021,83
534,IELTS,2021,98
534,Sertifikasi K3,2021,
535,TOEFL,2025,96
535,Pelatihan Bahasa,2024,65
545,Pelatihan Bahasa,2023,76
550,TOEIC,2022,86
550,Sertifikat Kompetensi,2023,65
550,TOEIC,2021,77
552,Sertifikasi K3,2021,
570,Pelatihan Bahasa,2024,83
572,Microsoft Office,2024,68
572,Sertifikat Kompetensi,2025,81
572,Pelatihan Bahasa,2024,70
573,TOEIC,2023,81
582,Sertifikasi K3,2025,
587,TOEFL,2021,66
587,Pelatihan Bahasa,2020,88
587,TOEFL,2022,65
592,Sertifikat Kompetensi,2023,63
592,TOEIC,2025,73
592,TOEIC,2024,67
600,TOEFL,2018,85
600,TOEFL,2018,63
607,Sertifikasi K3,2022,
609,Microsoft Office,2023,84
609,IELTS,2024,84
621,TOEFL,2020,74
621,Sertifikat Kompetensi,2020,80
621,Sertifikasi K3,2022,
623,Sertifikat Kompetensi,2025,62
623,Pelatihan Bahasa,2024,84
623,TOEIC,2025,76
624,IELTS,2022,71
642,Pelatihan Bahasa,2024,67
642,Sertifikasi K3,2024,
642,Sertifikat Kompetensi,2024,60
643,Sertifikat Kompetensi,2023,99
687,Pelatihan Bahasa,2018,66
687,Microsoft Office,2019,80
687,Pelatihan Bahasa,2019,75
689,TOEFL,2017,99
690,Pelatihan Bahasa,2024,74
690,Microsoft Office,2024,82
692,Pelatihan Bahasa,2024,81
703,Sertifikat Kompetensi,2017,95
703,Microsoft Office,2017,95
713,Sertifikasi K3,2021,
713,Pelatihan Bahasa,2022,68
713,TOEIC,2022,97
721,IELTS,2020,91
721,IELTS,2021,67
721,TOEFL,2020,65
726,Pelatihan Bahasa,2019,89
727,TOEIC,2021,96
727,TOEFL,2022,63
727,Sertifikasi K3,2022,
729,IELTS,2018,82
729,TOEIC,2018,64
729,Sertifikasi K3,2018,
732,IELTS,2021,73
732,TOEIC,2022,79
732,Microsoft Office,2022,64
738,Microsoft Office,2025,82
738,TOEIC,2025,85
746,Pelatihan Bahasa,2025,90
746,Microsoft Office,2024,93
759,TOEFL,2022,98
759,Pelatihan Bahasa,2023,76
760,Sertifikat Kompetensi,2021,82
760,IELTS,2021,98
766,IELTS,2024,81
766,IELTS,2024,74
766,Microsoft Office,2024,95
772,TOEFL,2020,77
773,Sertifikasi K3,2023,
773,IELTS,2023,62
781,Sertifikat Kompetensi,2022,70
781,Sertifikasi K3,2023,
781,TOEIC,2023,93
782,Pelatihan Bahasa,2024,70
782,Sertifikasi K3,2024,
782,Pelatihan Bahasa,2025,81
784,TOEFL,2021,71
787,Pelatihan Bahasa,2022,77
787,TOEFL,2023,95
793,Microsoft Office,2025,91
