unit_induk,tahun,headcount,pensiun,mengundurkan_diri,meninggal_dunia,phk,kekosongan
PT PLN (PERSERO) KANTOR PUSAT,2019,3895,377.1,13.91,6.96,3.83,401.8
PT PLN (PERSERO) KANTOR PUSAT,2020,3895,294.29,11.19,5.59,3.08,314.15
PT PLN (PERSERO) KANTOR PUSAT,2021,3895,216.09,12.49,6.25,3.44,238.27
PT PLN (PERSERO) KANTOR PUSAT,2022,3895,195.48,11.25,5.62,3.09,215.44
PT PLN (PERSERO) KANTOR PUSAT,2023,3876,175.93,10.02,5.01,2.75,193.71
PT PLN (PERSERO) KANTOR PUSAT,2024,3876,157.09,8.66,4.33,2.38,172.46
PT PLN (PERSERO) KANTOR PUSAT,2025,3876,153.54,8.95,4.48,2.46,169.43
PT PLN (PERSERO) KANTOR PUSAT,2026,3876,138.61,8.25,4.12,2.27,153.25
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2019,367,24.19,1.31,0.66,0.36,26.52
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2020,367,18.87,1.05,0.53,0.29,20.74
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2021,367,13.86,1.18,0.59,0.32,15.95
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2022,367,12.54,1.06,0.53,0.29,14.42
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2023,365,11.28,0.94,0.47,0.26,12.95
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2024,365,10.08,0.82,0.41,0.22,11.53
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2025,365,9.85,0.84,0.42,0.23,11.34
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,2026,365,8.89,0.78,0.39,0.21,10.27
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2019,232,14.33,0.83,0.41,0.23,15.8
