kota_id,nama,kelompok_sumber,offline_utama,rujukan
K001,Banda Aceh,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K002,Medan,arsip_2017_smk,True,"F-019, F-031/F-032/F-006/F-024"
K003,Padang,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K004,Pekanbaru,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K005,Tanjung Pinang,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K006,Jakarta,arsip_2017_smk,True,"F-019, F-031/F-032/F-006/F-024"
K007,Bandung,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K008,Yogyakarta,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K009,Pontianak,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K010,Banjarmasin,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K011,Balikpapan,arsip_2017_smk,True,"F-019, F-031/F-032/F-006/F-024"
K012,Makassar,arsip_2017_smk,True,"F-019, F-031/F-032/F-006/F-024"
K013,Palu,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K014,Gorontalo,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K015,Mamuju,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K016,Ternate,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K017,Ambon,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K018,Kupang,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K019,Ende,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K020,Jayapura,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K021,Timika,arsip_2017_smk,False,"F-019, F-031/F-032/F-006/F-024"
K022,Surabaya,arsip_2019_reguler,True,"F-019, F-031/F-032/F-006/F-024"
K023,Palembang,arsip_2019_reguler,True,"F-019, F-031/F-032/F-006/F-024"
K024,Manado,arsip_2019_reguler,False,"F-019, F-031/F-032/F-006/F-024"
K025,Bandar Lampung,arsip_2019_reguler,False,"F-019, F-031/F-032/F-006/F-024"
K026,Manokwari,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K027,Merauke,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K028,Nabire,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K029,Biak,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K030,Sorong,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K031,Wamena,afirmasi_papua,False,"F-019, F-031/F-032/F-006/F-024"
K032,Semarang,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K033,Denpasar,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K034,Mataram,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K035,Jambi,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K036,Bengkulu,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K037,Pangkal Pinang,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K038,Samarinda,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K039,Kendari,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K040,Batam,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K041,Serang,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K042,Palangka Raya,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
K043,Sofifi,turunan_ibukota,False,"TURUNAN (melengkapi ke 43, F-019)"
