minat_profesi,tipe,sub_bidang,bidang_pembidangan,n_program
Pemeliharaan Transmisi dan Gardu Induk,profesi,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,11
Pemeliharaan Distribusi,profesi,Distribusi,Distribusi,11
Akuntansi,profesi,Keuangan dan Akuntansi,Keuangan,11
Pemasaran dan Pelayanan Pelanggan,profesi,Niaga dan Pemasaran,Niaga,11
Manajemen Konstruksi,profesi,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,11
Pemeliharaan Pembangkitan,profesi,Pembangkitan,Pembangkitan,10
Proyeksi PT PLN Nusantara Power - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,7
Proyeksi PT PLN (PERSERO) - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,6
Proyeksi PT PLN Indonesia Power - Pengangkatan Di Papua,keterangan_penempatan,,,6
Manajemen Keuangan,profesi,Keuangan dan Akuntansi,Keuangan,3
Enjiniring Transmisi dan Gardu Induk,profesi,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,2
Enjiniring Pembangkitan,profesi,Pembangkitan,Pembangkitan,2
Teknologi Informasi,profesi,Teknologi Informasi,SDM,2
Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Teknik),keterangan_penempatan,,,1
Proyeksi PT PLN Indonesia Power - Lokasi Penempatan Seluruh Indonesia (Jurusan Non Teknik),keterangan_penempatan,,,1
Proyeksi PT PLN Nusa Daya - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,1
Proyeksi PLN GROUP - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,1
Proyeksi PT PLN Energi Primer Indonesia - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,1
Proyeksi PLN GROUP - S1 Hukum - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,1
Proyeksi PLN GROUP - S2 Hukum/Public Policy Diaspora - Lokasi Pengangkatan Jakarta,keterangan_penempatan,,,1
Proyeksi PLN GROUP - S2 Hukum/Non Hukum dengan Latar Belakang S1 Hukum - Lokasi Pengangkatan Jakarta,keterangan_penempatan,,,1
Proyeksi PT PLN Electricity Services - Lokasi Penempatan Seluruh Indonesia,keterangan_penempatan,,,1
Rekrutmen S2 Diaspora Experienced,keterangan_penempatan,,,1
Rekrutmen S2 Diaspora Fresh Graduate,keterangan_penempatan,,,1
Rekrutmen S1 Diaspora Fresh Graduate,keterangan_penempatan,,,1
Perencanaan Pembangkitan,profesi,Perencanaan Sistem,Perencanaan Sistem,1
Manajemen Perusahaan,profesi,Perencanaan dan Kinerja,SDM,1
Niaga,profesi,Niaga dan Pemasaran,Niaga,1
Hukum,profesi,Hukum dan Kepatuhan,SDM,1
Data Analitik,profesi,Teknologi Informasi,SDM,1
Manajemen Digital,profesi,Teknologi Informasi,SDM,1
Pembangunan dan Aktivasi (Icon+),profesi,Teknologi Informasi,SDM,1
Pemeliharaan dan Aset (Icon+),profesi,Teknologi Informasi,SDM,1
Enjiniring Distribusi,profesi,Distribusi,Distribusi,1
