no,tahun_program,holding_ap_sh,holding_subholding,unit_pelaksana,jabatan,jurusan_pendidikan,jumlah,pendidikan,keterangan,sub_bidang,level,usulan_sebelum_potong
1,2019,HOLDING,UID Jawa Timur,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,9,S1,Rekrut 2019,Niaga dan Pemasaran,2,25.451
2,2019,HOLDING,UIW Maluku&Malut,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,9,S1,3T,Niaga dan Pemasaran,2,23.986
3,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER SEKRETARIS DIREKSI,D3 Komunikasi/Hubungan Masyarakat,8,D3,Rekrut 2019,Komunikasi dan Umum,1,22.212
4,2019,HOLDING,UID Jawa Barat,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,7,S1,Rekrut 2019,Niaga dan Pemasaran,2,18.887
5,2019,HOLDING,UIT JBT,,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,S1 Teknik Elektro/Teknik Listrik,7,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,20.356
6,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PROTOKOLER DIREKSI,D3 Komunikasi/Hubungan Masyarakat,7,D3,Rekrut 2019,Komunikasi dan Umum,1,18.51
7,2019,HOLDING,UIT JBTB,,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,S1 Teknik Elektro/Teknik Listrik,6,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,15.258
8,2019,HOLDING,UID Jawa Timur,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,5,S1,Rekrut 2019,Distribusi,2,13.938
9,2019,HOLDING,P3B Sumatera,,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,S1 Teknik Elektro/Teknik Listrik,5,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,12.589
10,2019,HOLDING,PUSMANPRO,,TECHNICIAN MANAJEMEN KONSTRUKSI JARINGAN,S1 Teknik Elektro/Teknik Listrik,5,S1,Rekrut 2019,Distribusi,2,14.939
11,2019,HOLDING,UID Jawa Timur,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,5,D3,Rekrut 2019,Distribusi,1,12.769
12,2019,HOLDING,UID Jawa Barat,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,5,D3,Rekrut 2019,Distribusi,1,14.938
13,2019,HOLDING,P3B Sumatera,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,5,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,14.362
14,2019,HOLDING,UID Jawa Tengah & DIY,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,4,S1,Rekrut 2019,Niaga dan Pemasaran,2,11.121
15,2019,HOLDING,UID Bali,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,4,S1,Rekrut 2019,Distribusi,2,10.568
16,2019,HOLDING,UID Jawa Timur,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,4,S1,Rekrut 2019,Keuangan dan Akuntansi,2,10.302
17,2019,HOLDING,UIT JBB,,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,S1 Teknik Elektro/Teknik Listrik,4,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,9.715
18,2019,HOLDING,UID Jawa Barat,,OFFICER LOGISTIK LAYANAN PELANGGAN,S1 Logistik/Supply Chain Management,4,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,11.467
19,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL SURABAYA,D3 Psikologi/Kepegawaian,4,D3,Rekrut 2019,Sumber Daya Manusia,1,11.106
20,2019,HOLDING,UID Jawa Barat,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,4,D3,Rekrut 2019,Distribusi,1,11.017
21,2019,HOLDING,UID Jawa Timur,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,4,D3,Rekrut 2019,Distribusi,1,9.623
22,2019,HOLDING,UID Jawa Barat,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,4,D3,Rekrut 2019,Distribusi,1,11.951
23,2019,HOLDING,UIW Maluku&Malut,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,4,D3,3T,Distribusi,1,11.853
24,2019,HOLDING,UID Jawa Timur,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,4,D3,Rekrut 2019,Distribusi,1,11.658
25,2019,HOLDING,Kantor Pusat,,OFFICER VERIFIKASI,S1 Akuntansi/Administrasi Fiskal,3,S1,Rekrut 2019,Keuangan dan Akuntansi,2,8.503
26,2019,HOLDING,UIT JBB,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,3,S1,Rekrut 2019,Perencanaan dan Kinerja,2,8.42
27,2019,HOLDING,UID Sulselrabar,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,3T,Niaga dan Pemasaran,2,8.343
28,2019,HOLDING,Kantor Pusat,,OFFICER HUKUM,S1 Hukum/Public Policy,3,S1,Rekrut 2019,Hukum dan Kepatuhan,2,8.333
29,2019,HOLDING,UID Jawa Barat,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,3,S1,Rekrut 2019,Keuangan dan Akuntansi,2,8.094
30,2019,HOLDING,UID Kaltimra,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,3T,Niaga dan Pemasaran,2,8.031
31,2019,HOLDING,UID Suluttenggo,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,3T,Niaga dan Pemasaran,2,7.789
32,2019,HOLDING,P3B Sumatera,,OFFICER KINERJA DAN PERENCANAAN,S1 Teknik Industri/Teknik Material,3,S1,Rekrut 2019,Perencanaan dan Kinerja,2,7.782
33,2019,HOLDING,UID Jakarta Raya,,OFFICER KINERJA KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,3,S1,Rekrut 2019,Distribusi,2,7.475
34,2019,HOLDING,UID Sumut,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,Rekrut 2019,Niaga dan Pemasaran,2,7.212
35,2019,HOLDING,UIW Papua&Papua Barat,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,3T,Niaga dan Pemasaran,2,7.055
36,2019,HOLDING,UIT JBT,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,3,S1,Rekrut 2019,Perencanaan dan Kinerja,2,6.832
37,2019,HOLDING,UID Jawa Barat,,OFFICER KINERJA JARINGAN DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,3,S1,Rekrut 2019,Distribusi,2,6.745
38,2019,HOLDING,UID Sumbar,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,Rekrut 2019,Niaga dan Pemasaran,2,6.583
39,2019,HOLDING,UID Jawa Barat,,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,3,S1,Rekrut 2019,Distribusi,2,9.219
40,2019,HOLDING,UID Jawa Barat,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,3,S1,Rekrut 2019,Distribusi,2,8.769
41,2019,HOLDING,UID Jakarta Raya,,OFFICER KINERJA JARINGAN DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,3,S1,Rekrut 2019,Distribusi,2,8.721
42,2019,HOLDING,UID S2JB,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,S1,3T,Niaga dan Pemasaran,2,8.625
43,2019,HOLDING,UIT JBB,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,3,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,8.462
44,2019,HOLDING,Kantor Pusat,,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL AMBON,D3 Psikologi/Kepegawaian,3,D3,Rekrut 2019,Sumber Daya Manusia,1,7.404
45,2019,HOLDING,UIW Maluku&Malut,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,3,D3,3T,Distribusi,1,7.055
46,2019,HOLDING,UID S2JB,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,3,D3,3T,Distribusi,1,6.805
47,2019,HOLDING,UID Jawa Tengah & DIY,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,3,D3,Rekrut 2019,Distribusi,1,6.794
48,2019,HOLDING,UIT JBT,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,3,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,8.887
49,2019,HOLDING,UID Jawa Barat,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,3,D3,Rekrut 2019,Niaga dan Pemasaran,1,8.776
50,2019,HOLDING,UID Jakarta Raya,,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,D3 Teknik Elektro/Teknik Listrik,3,D3,Rekrut 2019,Distribusi,1,8.745
51,2019,HOLDING,P3B Sumatera,,OFFICER KINERJA KONSTRUKSI DAN PENYALURAN,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,5.722
52,2019,HOLDING,UID Kalselteng,,TECHNICIAN TEKNISI PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,5.712
53,2019,HOLDING,Pusat Pengatur Beban,,OFFICER KINERJA FASILITAS OPERASI,S1 Komunikasi/Hubungan Masyarakat,2,S1,Rekrut 2019,Komunikasi dan Umum,2,5.709
54,2019,HOLDING,UID Jawa Barat,,TECHNICIAN TEKNIK LAYANAN PELANGGAN,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,5.621
55,2019,HOLDING,UID Jakarta Raya,,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,5.399
56,2019,HOLDING,PUSMANPRO,,TECHNICIAN MANAJEMEN KONSTRUKSI PEMBANGKITAN,S1 Teknik Mesin/Konversi Energi,2,S1,Rekrut 2019,Pembangkitan,2,5.317
57,2019,HOLDING,UID Kaltimra,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,5.262
58,2019,HOLDING,UID Jawa Barat,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,2,S1,Rekrut 2019,Perencanaan dan Kinerja,2,5.171
59,2019,HOLDING,UID Jawa Barat,,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,5.171
60,2019,HOLDING,UIT JBTB,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,2,S1,Rekrut 2019,Perencanaan dan Kinerja,2,5.158
61,2019,HOLDING,UIW Papua&Papua Barat,,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN PUSAT LISTRIK,S1 Teknik Mesin/Konversi Energi,2,S1,3T,Pembangkitan,2,5.08
62,2019,HOLDING,UIW Maluku&Malut,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,2,S1,3T,Keuangan dan Akuntansi,2,4.797
63,2019,HOLDING,UIW Maluku&Malut,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,4.797
