pasca_id,pendaftaran_id,kandidat_id,profesi_id,gelombang_id,tahap_kode,urutan,tanggal_mulai,tanggal_selesai,status,progres,pemilik_proses,sistem_sumber
1,REG0000019,12,F00078,G2022-080,pengumuman_akhir,7,2023-05-19,2023-05-19,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
2,REG0000019,12,F00078,G2022-080,ttd_kontrak,8,2023-06-05,2023-06-05,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
3,REG0000019,12,F00078,G2022-080,samapta,9,2023-06-29,2023-06-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
4,REG0000019,12,F00078,G2022-080,pembidangan,10,2023-07-03,2023-07-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
5,REG0000019,12,F00078,G2022-080,ojt,11,2023-07-08,2024-01-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
6,REG0000019,12,F00078,G2022-080,ujian_ojt,12,2024-01-19,2024-01-19,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
7,REG0000019,12,F00078,G2022-080,sk_penempatan,13,2024-01-29,2024-01-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
8,REG0000041,31,F00155,G2023-086,pengumuman_akhir,7,2024-03-18,2024-03-18,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
9,REG0000041,31,F00155,G2023-086,ttd_kontrak,8,2024-04-05,2024-04-05,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
10,REG0000041,31,F00155,G2023-086,samapta,9,2024-04-19,2024-04-19,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
11,REG0000041,31,F00155,G2023-086,pembidangan,10,2024-05-02,2024-05-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
12,REG0000041,31,F00155,G2023-086,ojt,11,2024-05-07,2024-11-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
13,REG0000041,31,F00155,G2023-086,ujian_ojt,12,2024-11-10,2024-11-10,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
14,REG0000041,31,F00155,G2023-086,sk_penempatan,13,2024-11-28,2024-11-28,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
15,REG0000043,32,F00191,G2025-091,pengumuman_akhir,7,2026-02-13,2026-02-13,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
16,REG0000043,32,F00191,G2025-091,ttd_kontrak,8,2026-03-02,2026-03-02,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
17,REG0000043,32,F00191,G2025-091,samapta,9,2026-03-24,2026-03-24,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
18,REG0000043,32,F00191,G2025-091,pembidangan,10,2026-03-30,2026-03-30,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
19,REG0000043,32,F00191,G2025-091,ojt,11,2026-04-04,2026-10-01,BERJALAN,0.9111,PUSDIKLAT,aplikasi Pusdiklat
20,REG0000101,78,F00224,G2025-092,pengumuman_akhir,7,2026-02-27,2026-02-27,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
21,REG0000101,78,F00224,G2025-092,ttd_kontrak,8,2026-03-21,2026-03-21,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
22,REG0000101,78,F00224,G2025-092,samapta,9,2026-04-01,2026-04-01,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
23,REG0000101,78,F00224,G2025-092,pembidangan,10,2026-04-13,2026-04-13,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
24,REG0000101,78,F00224,G2025-092,ojt,11,2026-04-18,2026-10-15,BERJALAN,0.8333,PUSDIKLAT,aplikasi Pusdiklat
25,REG0000105,80,F00162,G2024-087,pengumuman_akhir,7,2024-08-24,2024-08-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
26,REG0000105,80,F00162,G2024-087,ttd_kontrak,8,2024-09-03,2024-09-03,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
27,REG0000105,80,F00162,G2024-087,samapta,9,2024-10-02,2024-10-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
28,REG0000105,80,F00162,G2024-087,pembidangan,10,2024-10-08,2024-10-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
29,REG0000105,80,F00162,G2024-087,ojt,11,2024-10-13,2025-04-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
30,REG0000105,80,F00162,G2024-087,ujian_ojt,12,2025-04-19,2025-04-19,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
31,REG0000105,80,F00162,G2024-087,sk_penempatan,13,2025-05-06,2025-05-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
32,REG0000107,81,F00140,G2023-086,pengumuman_akhir,7,2024-03-18,2024-03-18,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
33,REG0000107,81,F00140,G2023-086,ttd_kontrak,8,2024-04-02,2024-04-02,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
34,REG0000107,81,F00140,G2023-086,samapta,9,2024-04-30,2024-04-30,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
35,REG0000107,81,F00140,G2023-086,pembidangan,10,2024-05-02,2024-05-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
36,REG0000107,81,F00140,G2023-086,ojt,11,2024-05-07,2024-11-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
37,REG0000107,81,F00140,G2023-086,ujian_ojt,12,2024-11-17,2024-11-17,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
38,REG0000107,81,F00140,G2023-086,sk_penempatan,13,2024-11-28,2024-11-28,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
39,REG0000114,87,F00076,G2022-079,pengumuman_akhir,7,2023-04-19,2023-04-19,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
40,REG0000114,87,F00076,G2022-079,ttd_kontrak,8,2023-05-07,2023-05-07,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
41,REG0000114,87,F00076,G2022-079,samapta,9,2023-05-29,2023-05-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
42,REG0000114,87,F00076,G2022-079,pembidangan,10,2023-06-03,2023-06-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
43,REG0000114,87,F00076,G2022-079,ojt,11,2023-06-08,2023-12-05,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
44,REG0000114,87,F00076,G2022-079,ujian_ojt,12,2023-12-18,2023-12-18,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
45,REG0000114,87,F00076,G2022-079,sk_penempatan,13,2023-12-30,2023-12-30,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
46,REG0000144,111,F00022,G2019-071,pengumuman_akhir,7,2020-01-17,2020-01-17,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
47,REG0000144,111,F00022,G2019-071,ttd_kontrak,8,2020-01-30,2020-01-30,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
48,REG0000144,111,F00022,G2019-071,samapta,9,2020-02-29,2020-02-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
49,REG0000144,111,F00022,G2019-071,pembidangan,10,2020-03-02,2020-03-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
50,REG0000144,111,F00022,G2019-071,ojt,11,2020-03-07,2020-09-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
51,REG0000144,111,F00022,G2019-071,ujian_ojt,12,2020-09-09,2020-09-09,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
52,REG0000144,111,F00022,G2019-071,sk_penempatan,13,2020-09-28,2020-09-28,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
53,REG0000233,179,F00051,G2019-072,pengumuman_akhir,7,2020-02-12,2020-02-12,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
54,REG0000233,179,F00051,G2019-072,ttd_kontrak,8,2020-02-27,2020-02-27,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
55,REG0000233,179,F00051,G2019-072,samapta,9,2020-03-24,2020-03-24,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
56,REG0000233,179,F00051,G2019-072,pembidangan,10,2020-03-28,2020-03-28,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
57,REG0000233,179,F00051,G2019-072,ojt,11,2020-04-02,2020-09-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
58,REG0000233,179,F00051,G2019-072,ujian_ojt,12,2020-10-07,2020-10-07,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
59,REG0000233,179,F00051,G2019-072,sk_penempatan,13,2020-10-24,2020-10-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
60,REG0000240,184,F00175,G2024-087,pengumuman_akhir,7,2024-08-24,2024-08-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
61,REG0000240,184,F00175,G2024-087,ttd_kontrak,8,2024-09-09,2024-09-09,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
62,REG0000240,184,F00175,G2024-087,samapta,9,2024-10-01,2024-10-01,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
63,REG0000240,184,F00175,G2024-087,pembidangan,10,2024-10-08,2024-10-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
64,REG0000240,184,F00175,G2024-087,ojt,11,2024-10-13,2025-04-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
65,REG0000240,184,F00175,G2024-087,ujian_ojt,12,2025-04-25,2025-04-25,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
66,REG0000240,184,F00175,G2024-087,sk_penempatan,13,2025-05-06,2025-05-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
67,REG0000268,205,F00183,G2024-088,pengumuman_akhir,7,2025-01-17,2025-01-17,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
68,REG0000268,205,F00183,G2024-088,ttd_kontrak,8,2025-02-02,2025-02-02,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
69,REG0000268,205,F00183,G2024-088,samapta,9,2025-03-01,2025-03-01,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
70,REG0000268,205,F00183,G2024-088,pembidangan,10,2025-03-03,2025-03-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
71,REG0000268,205,F00183,G2024-088,ojt,11,2025-03-08,2025-09-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
72,REG0000268,205,F00183,G2024-088,ujian_ojt,12,2025-09-19,2025-09-19,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
73,REG0000268,205,F00183,G2024-088,sk_penempatan,13,2025-09-29,2025-09-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
74,REG0000316,246,F00196,G2025-091,pengumuman_akhir,7,2026-02-13,2026-02-13,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
75,REG0000316,246,F00196,G2025-091,ttd_kontrak,8,2026-02-26,2026-02-26,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
76,REG0000316,246,F00196,G2025-091,samapta,9,2026-03-28,2026-03-28,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
