penempatan_id,pendaftaran_id,kandidat_id,tahun_program,jenis_penempatan,status_sk,sub_bidang,bidang_pembidangan,updl_id,kode_grade,unit_induk,nama_posisi,perusahaan_subholding,sumber_penempatan
1,REG0000019,12,2022,INDUK,SUDAH,Audit dan Risiko,Keuangan,8214,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER PELAPORAN AUDIT,,TURUNAN
2,REG0000041,31,2023,INDUK,SUDAH,Distribusi,Distribusi,8213,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA KONSTRUKSI DISTRIBUSI,,TURUNAN
3,REG0000043,32,2025,INDUK,BELUM,Keuangan dan Akuntansi,Keuangan,8220,G2,,,,DIMODELKAN
4,REG0000101,78,2025,SUBHOLDING,BELUM,Pembangkitan,Pembangkitan,8213,G2,,,NP,DIMODELKAN
5,REG0000105,80,2024,INDUK,SUDAH,Distribusi,Distribusi,8224,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,,TURUNAN
6,REG0000107,81,2023,INDUK,SUDAH,Distribusi,Distribusi,8217,G1,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR TECHNICIAN PDKB,,TURUNAN
7,REG0000114,87,2022,INDUK,SUDAH,Distribusi,Distribusi,8220,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,,TURUNAN
8,REG0000144,111,2019,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8219,G1,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,JUNIOR OFFICER KEUANGAN,,TURUNAN
9,REG0000233,179,2019,INDUK,SUDAH,Distribusi,Distribusi,8220,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,,TURUNAN
10,REG0000240,184,2024,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8212,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA NIAGA DAN PEMASARAN,,TURUNAN
11,REG0000268,205,2024,INDUK,SUDAH,Sumber Daya Manusia,SDM,8224,G1,PT PLN (PERSERO) KANTOR PUSAT,JUNIOR OFFICER PELAYANAN HUMAN CAPITAL DEPOK,,TURUNAN
12,REG0000316,246,2025,INDUK,BELUM,Sumber Daya Manusia,SDM,8213,G2,,,,DIMODELKAN
13,REG0000326,254,2019,INDUK,SUDAH,Distribusi,Distribusi,8213,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,,TURUNAN
14,REG0000342,265,2024,INDUK,SUDAH,Pembangkitan,Pembangkitan,8214,G2,PT PLN (PERSERO) KANTOR PUSAT,"OFFICER AUDIT KONSTRUKSI, PEMBANGKITAN, DAN EBT 2A",,TURUNAN
15,REG0000358,277,2022,INDUK,SUDAH,Distribusi,Distribusi,8218,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,JUNIOR TECHNICIAN PENGENDALIAN SUSUT,,TURUNAN
16,REG0000384,296,2019,INDUK,SUDAH,Komunikasi dan Umum,SDM,8219,G3,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,,TURUNAN
17,REG0000440,338,2024,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8220,G1,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,JUNIOR OFFICER PENGADAAN TANAH DAN PENGENDALIAN ROW,,TURUNAN
18,REG0000447,344,2025,SUBHOLDING,BELUM,Transmisi dan Gardu Induk,Pembangkitan,8224,G1,,,IP,DIMODELKAN
19,REG0000495,377,2024,INDUK,SUDAH,Distribusi,Distribusi,8212,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,,TURUNAN
20,REG0000504,385,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8213,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,OFFICER PENGENDALIAN KONSTRUKSI,,TURUNAN
21,REG0000538,413,2023,INDUK,SUDAH,Distribusi,Distribusi,8213,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,,TURUNAN
22,REG0000550,425,2025,SUBHOLDING,BELUM,Komunikasi dan Umum,Pembangkitan,8216,G1,,,NP,DIMODELKAN
23,REG0000561,432,2024,SUBHOLDING,SUDAH,Distribusi,Pembangkitan,8211,G1,,,BTM,DIMODELKAN
24,REG0000656,506,2024,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8211,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
25,REG0000664,512,2025,INDUK,BELUM,Perencanaan Sistem,Perencanaan Sistem,8217,G2,,,,DIMODELKAN
26,REG0000678,524,2022,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8220,G2,PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,OFFICER PERENCANAAN DAN EVALUASI PEMELIHARAAN GARDU INDUK,,TURUNAN
27,REG0000681,527,2023,SUBHOLDING,SUDAH,Pembangkitan,Pembangkitan,8220,G2,,,NP,DIMODELKAN
28,REG0000697,537,2025,SUBHOLDING,BELUM,Distribusi,Transmisi dan Gardu Induk,8224,G1,,,ES,DIMODELKAN
29,REG0000703,542,2025,INDUK,BELUM,Distribusi,Distribusi,8213,G2,,,,DIMODELKAN
30,REG0000723,560,2025,SUBHOLDING,BELUM,Transmisi dan Gardu Induk,Pembangkitan,8214,G2,,,NP,DIMODELKAN
31,REG0000739,572,2025,INDUK,BELUM,Pembangkitan,Pembangkitan,8212,G2,,,,DIMODELKAN
32,REG0000760,592,2025,INDUK,BELUM,Pembangkitan,Pembangkitan,8212,G2,,,,DIMODELKAN
33,REG0000832,645,2025,INDUK,BELUM,Pembangkitan,Pembangkitan,8219,G2,,,,DIMODELKAN
34,REG0000912,705,2025,SUBHOLDING,BELUM,Perencanaan dan Kinerja,Niaga,8213,G2,,,ND,DIMODELKAN
35,REG0000921,712,2019,INDUK,SUDAH,Distribusi,Distribusi,8211,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA JARINGAN DISTRIBUSI,,TURUNAN
36,REG0000947,732,2024,SUBHOLDING,SUDAH,Distribusi,Niaga,8217,G2,,,BTM,DIMODELKAN
37,REG0000992,770,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8224,G2,PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,OFFICER KAJIAN DAN INVESTIGASI TEKNIK DAN TEKNOLOGI SISTEM TRANSMISI DAN DISTRIBUSI,,TURUNAN
38,REG0001000,774,2025,SUBHOLDING,BELUM,Manajemen Konstruksi dan Pengadaan,Pembangkitan,8215,G2,,,IP,DIMODELKAN
39,REG0001015,784,2025,INDUK,BELUM,Audit dan Risiko,Keuangan,8213,G2,,,,DIMODELKAN
40,REG0001101,850,2024,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8220,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER LOGISTIK LAYANAN PELANGGAN,,TURUNAN
41,REG0001213,934,2023,INDUK,SUDAH,Distribusi,Distribusi,8220,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",OFFICER PERENCANAAN LISTRIK PERDESAAN,,TURUNAN
42,REG0001249,968,2025,SUBHOLDING,BELUM,Niaga dan Pemasaran,SDM,8211,G2,,,ND,DIMODELKAN
43,REG0001264,981,2019,INDUK,SUDAH,Sumber Daya Manusia,SDM,8220,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER PENGEMBANGAN TALENTA UIP3B SUMATERA,,TURUNAN
44,REG0001283,999,2024,SUBHOLDING,SUDAH,Komunikasi dan Umum,Distribusi,8216,G1,,,BTM,DIMODELKAN
45,REG0001308,1014,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8211,G2,,,,DIMODELKAN
46,REG0001326,1029,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8214,G2,PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,OFFICER ADMINISTRASI KONTRAK,,TURUNAN
47,REG0001367,1060,2019,INDUK,SUDAH,Distribusi,Distribusi,8211,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA KONSTRUKSI DISTRIBUSI,,TURUNAN
48,REG0001376,1068,2025,INDUK,BELUM,Niaga dan Pemasaran,Niaga,8220,G2,,,,DIMODELKAN
49,REG0001388,1077,2025,INDUK,BELUM,Niaga dan Pemasaran,Niaga,8214,G2,,,,DIMODELKAN
50,REG0001421,1104,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8218,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN PEMELIHARAAN GARDU INDUK,,TURUNAN
51,REG0001435,1114,2024,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8217,G2,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
52,REG0001450,1125,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8214,G2,,,ICON,DIMODELKAN
53,REG0001467,1139,2024,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,Manajemen Digital,8213,G2,,,ICON,DIMODELKAN
54,REG0001498,1166,2025,SUBHOLDING,BELUM,Keuangan dan Akuntansi,Transmisi dan Gardu Induk,8220,G2,,,ES,DIMODELKAN
55,REG0001501,1169,2022,INDUK,SUDAH,Komunikasi dan Umum,SDM,8212,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,OFFICER ACCOUNT EXECUTIVE,,TURUNAN
56,REG0001515,1180,2022,INDUK,SUDAH,Komunikasi dan Umum,SDM,8215,G3,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,,TURUNAN
57,REG0001569,1223,2025,SUBHOLDING,BELUM,Audit dan Risiko,SDM,8213,G2,,,ND,DIMODELKAN
58,REG0001577,1230,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8212,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
59,REG0001617,1259,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8219,G1,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,JUNIOR TECHNICIAN PROYEK,,TURUNAN
60,REG0001669,1302,2025,INDUK,BELUM,Distribusi,Distribusi,8211,G2,,,,DIMODELKAN
61,REG0001680,1311,2025,SUBHOLDING,BELUM,Distribusi,Transmisi dan Gardu Induk,8218,G2,,,ES,DIMODELKAN
62,REG0001696,1323,2024,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8218,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,OFFICER KINERJA,,TURUNAN
63,REG0001727,1349,2025,SUBHOLDING,BELUM,Distribusi,Pembangkitan,8212,G2,,,IP,DIMODELKAN
64,REG0001752,1370,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8212,G2,,,ICON,DIMODELKAN
65,REG0001770,1384,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8211,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,OFFICER PENGENDALIAN PROYEK,,TURUNAN
66,REG0001834,1437,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8213,G2,,,ICON,DIMODELKAN
67,REG0001844,1443,2023,SUBHOLDING,SUDAH,Distribusi,Niaga,8218,G1,,,ND,DIMODELKAN
68,REG0001903,1488,2022,SUBHOLDING,SUDAH,Pembangkitan,Pembangkitan,8218,G3,,,IP,DIMODELKAN
69,REG0001992,1559,2023,SUBHOLDING,SUDAH,Perencanaan Sistem,Transmisi dan Gardu Induk,8212,G2,,,ES,DIMODELKAN
70,REG0002000,1566,2025,SUBHOLDING,BELUM,Perencanaan dan Kinerja,Distribusi,8220,G2,,,ES,DIMODELKAN
71,REG0002022,1583,2019,INDUK,SUDAH,Perencanaan dan Kinerja,SDM,8219,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,JUNIOR OFFICER PENGELOLAAN PIUTANG,,TURUNAN
72,REG0002059,1611,2024,INDUK,SUDAH,Audit dan Risiko,Keuangan,8215,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER KONSULTANSI AUDIT 1A,,TURUNAN
73,REG0002063,1615,2025,SUBHOLDING,BELUM,Pembangkitan,Pembangkitan,8213,G2,,,NP,DIMODELKAN
74,REG0002089,1636,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8212,G3,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,SENIOR OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
75,REG0002202,1729,2023,SUBHOLDING,SUDAH,K3 dan Lingkungan,Niaga,8220,G2,,,EPI,DIMODELKAN
76,REG0002209,1735,2025,INDUK,BELUM,Niaga dan Pemasaran,Niaga,8219,G2,,,,DIMODELKAN
77,REG0002253,1769,2025,INDUK,BELUM,Distribusi,Distribusi,8220,G2,,,,DIMODELKAN
78,REG0002306,1814,2024,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8214,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
79,REG0002307,1815,2019,INDUK,SUDAH,K3 dan Lingkungan,SDM,8214,G1,PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,"JUNIOR OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",,TURUNAN
80,REG0002409,1893,2023,INDUK,SUDAH,Distribusi,Distribusi,8216,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,,TURUNAN
81,REG0002612,2056,2023,INDUK,SUDAH,Distribusi,Distribusi,8215,G1,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,,TURUNAN
82,REG0002616,2057,2022,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8218,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
83,REG0002623,2063,2019,INDUK,SUDAH,Distribusi,Distribusi,8213,G3,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,SENIOR OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,,TURUNAN
84,REG0002652,2084,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8216,G2,,,ICON,DIMODELKAN
85,REG0002657,2087,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8214,G2,,,,DIMODELKAN
86,REG0002745,2157,2019,SUBHOLDING,SUDAH,Distribusi,Keuangan,8216,G1,,,EPI,DIMODELKAN
87,REG0002753,2162,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8212,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER ADMINISTRASI DAN PELAYANAN PELANGGAN,,TURUNAN
88,REG0002757,2166,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8220,G2,,,ICON,DIMODELKAN
89,REG0002836,2225,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8216,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,OFFICER PELAKSANA PENGADAAN,,TURUNAN
90,REG0002837,2226,2019,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8218,G3,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,SENIOR OFFICER KINERJA NIAGA DAN PEMASARAN,,TURUNAN
91,REG0002842,2230,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8224,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
92,REG0002894,2269,2019,INDUK,SUDAH,Komunikasi dan Umum,SDM,8216,G1,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,JUNIOR OFFICER ADMINISTRASI DAN UMUM,,TURUNAN
93,REG0002896,2271,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
94,REG0002956,2324,2019,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,SDM,8218,G2,,,ND,DIMODELKAN
95,REG0003002,2360,2019,INDUK,SUDAH,K3 dan Lingkungan,SDM,8220,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",,TURUNAN
96,REG0003013,2366,2024,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8211,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER AUDIT TRANSMISI DAN DISTRIBUSI 3C,,TURUNAN
97,REG0003039,2389,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Niaga,8219,G2,,,ICON,DIMODELKAN
98,REG0003068,2406,2025,INDUK,BELUM,Pembangkitan,Pembangkitan,8213,G2,,,,DIMODELKAN
99,REG0003173,2491,2022,INDUK,SUDAH,Distribusi,Distribusi,8218,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,,TURUNAN
100,REG0003176,2494,2025,SUBHOLDING,BELUM,Keuangan dan Akuntansi,Pembangkitan,8220,G2,,,IP,DIMODELKAN
101,REG0003181,2499,2025,INDUK,BELUM,Perencanaan Sistem,Perencanaan Sistem,8220,G1,,,,DIMODELKAN
102,REG0003190,2505,2019,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8219,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA NIAGA,,TURUNAN
103,REG0003279,2570,2019,INDUK,SUDAH,Pembangkitan,Pembangkitan,8219,G2,PT PLN (PERSERO) KANTOR PUSAT,TECHNICIAN ANEKA ENERGI IPP,,TURUNAN
104,REG0003282,2572,2024,INDUK,SUDAH,Distribusi,Distribusi,8215,G2,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,TECHNICIAN PRODUKSI,,TURUNAN
105,REG0003293,2577,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8217,G2,,,ICON,DIMODELKAN
106,REG0003313,2592,2019,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8213,G1,"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR OFFICER PELAYANAN PELANGGAN,,TURUNAN
107,REG0003380,2646,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8212,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,OFFICER PERENCANA PENGADAAN,,TURUNAN
108,REG0003387,2652,2025,SUBHOLDING,BELUM,Komunikasi dan Umum,Pembangkitan,8217,G2,,,NP,DIMODELKAN
109,REG0003414,2674,2024,SUBHOLDING,SUDAH,Distribusi,Manajemen Digital,8213,G2,,,ICON,DIMODELKAN
110,REG0003417,2677,2025,INDUK,BELUM,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8224,G2,,,,DIMODELKAN
111,REG0003428,2685,2022,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8214,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
112,REG0003442,2694,2024,INDUK,SUDAH,Teknologi Informasi,SDM,8214,G2,PT PLN (PERSERO) KANTOR PUSAT,OFFICER AUDIT DATA ANALITIK DAN CONTINUOUS AUDIT 1,,TURUNAN
113,REG0003465,2712,2023,INDUK,SUDAH,Distribusi,Distribusi,8213,G1,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,JUNIOR TECHNICIAN PEMELIHARAAN DISTRIBUSI,,TURUNAN
114,REG0003470,2714,2024,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8217,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER KINERJA KEUANGAN DAN UMUM,,TURUNAN
115,REG0003476,2718,2019,SUBHOLDING,SUDAH,Distribusi,Manajemen Digital,8219,G1,,,ICON,DIMODELKAN
116,REG0003490,2730,2023,SUBHOLDING,SUDAH,Distribusi,Transmisi dan Gardu Induk,8211,G2,,,ES,DIMODELKAN
117,REG0003495,2735,2024,INDUK,SUDAH,Distribusi,Distribusi,8217,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,,TURUNAN
118,REG0003506,2743,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8224,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,,TURUNAN
119,REG0003555,2778,2023,SUBHOLDING,SUDAH,K3 dan Lingkungan,Manajemen Digital,8217,G3,,,ICON,DIMODELKAN
120,REG0003570,2789,2022,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8220,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,,TURUNAN
121,REG0003641,2852,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8219,G2,PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,OFFICER PERIZINAN DAN PERTANAHAN,,TURUNAN
