unit_induk,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,247
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,194
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,146
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,133
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,124
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,TECHNICIAN MANAJEMEN KONSTRUKSI JARINGAN,G2,118
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,116
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,112
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,112
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,111
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TEAM LEADER PELAYANAN PELANGGAN,G2,110
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,98
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,97
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,92
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,92
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TEAM LEADER PELAYANAN PELANGGAN,G2,91
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,91
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANANLAYANAN PELANGGAN",G2,88
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,88
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,84
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,84
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,81
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,80
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,80
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,80
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,78
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,78
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,TEAM LEADER PELAYANAN PELANGGAN,G2,77
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN LAYANAN PELANGGAN",G2,76
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,72
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,72
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,G1,71
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,71
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SENIOR OFFICER PERFORMANCE ASSISTANT to MANAGER,G3,70
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,69
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,67
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,67
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,TEAM LEADER PELAYANAN PELANGGAN,G2,67
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,67
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN PDKB SUTT/SUTET,G1,67
