unit_induk,kode_unit_pelaksana,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,TECHNICIAN MANAJEMEN KONSTRUKSI JARINGAN,G2,118
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER VERIFIKASI,G2,50
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER HUKUM,G2,49
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3212,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,45
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,43
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3217,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,43
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8501,TECHNICIAN MANAJEMEN KONSTRUKSI PEMBANGKITAN,G2,42
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3215,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,41
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7631,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,38
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3516,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,35
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6312,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) KANTOR PUSAT,1001,SENIOR OFFICER VERIFIKASI,G3,31
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3513,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,31
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3512,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,30
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3517,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,29
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5456,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,27
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5156,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,27
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",6514,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,27
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3512,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,27
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3211,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,26
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3614,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,G1,26
PT PLN (PERSERO) KANTOR PUSAT,1001,OFFICER PEMBAYARAN UNIT,G2,25
PT PLN (PERSERO) PUSAT SERTIFIKASI,8601,TECHNICIAN PENGELOLAAN PENGUJIAN SISTEM PEMBANGKIT,G2,24
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7424,JUNIOR TECHNICIAN PENGATURAN OPERASI,G1,24
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3513,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,24
