profesi_id,program_id,gelombang_id,angkatan,tahun_program,kode_profesi,nama_profesi,jenjang,kota_rekrutmen,tgl_buka,tgl_tutup,min_ipk,umur_maks,sumber_rekrutmen,jenis_program,penempatan,status_sumber,kuota,diterima_target
F00001,P0001,G2019-007,7,2019,7.1,REKRUTMEN PRO HIRE PLN GROUP TAHUN 2019 - ASET PROPERTI,S2,Seluruh Indonesia,,,3.0,40,mandiri,PRO_HIRE,INDUK,DIMODELKAN,0,0
F00002,P0002,G2019-007,7,2019,7.2,REKRUTMEN PRO HIRE PLN GROUP TAHUN 2019 - JAKARTA,S2,Seluruh Indonesia,,,3.0,40,mandiri,PRO_HIRE,INDUK,DIMODELKAN,0,0
F00003,P0003,G2019-070,70,2019,70.3,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - DENPASAR,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,SUBHOLDING,DIMODELKAN,32,32
F00004,P0003,G2019-070,70,2019,70.4,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - DENPASAR,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,SUBHOLDING,DIMODELKAN,18,18
F00005,P0003,G2019-070,70,2019,70.5,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - DENPASAR,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,SUBHOLDING,DIMODELKAN,2,2
F00006,P0004,G2019-070,70,2019,70.6,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MAKASSAR,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00007,P0004,G2019-070,70,2019,70.7,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MAKASSAR,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,12,12
F00008,P0004,G2019-070,70,2019,70.8,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MAKASSAR,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00009,P0005,G2019-070,70,2019,70.9,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PADANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00010,P0005,G2019-070,70,2019,70.10,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PADANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,12,12
F00011,P0005,G2019-070,70,2019,70.11,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PADANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00012,P0006,G2019-070,70,2019,70.12,REKRUTMEN UMUM MELALUI BURSA KARIR ITS KE-33 TINGKAT S1/D-IV DAN D-III,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,CAMPUS,INDUK,DIMODELKAN,20,20
F00013,P0006,G2019-070,70,2019,70.13,REKRUTMEN UMUM MELALUI BURSA KARIR ITS KE-33 TINGKAT S1/D-IV DAN D-III,D-III,Seluruh Indonesia,,,3.0,25,mandiri,CAMPUS,INDUK,DIMODELKAN,12,12
F00014,P0006,G2019-070,70,2019,70.14,REKRUTMEN UMUM MELALUI BURSA KARIR ITS KE-33 TINGKAT S1/D-IV DAN D-III,S2,Seluruh Indonesia,,,3.0,30,mandiri,CAMPUS,INDUK,DIMODELKAN,1,1
F00015,P0007,G2019-070,70,2019,70.15,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - ACEH,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00016,P0007,G2019-070,70,2019,70.16,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - ACEH,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,12,12
F00017,P0007,G2019-070,70,2019,70.17,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - ACEH,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00018,P0008,G2019-070,70,2019,70.18,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - AMBON,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00019,P0008,G2019-070,70,2019,70.19,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - AMBON,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,12,12
F00020,P0008,G2019-070,70,2019,70.20,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - AMBON,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00021,P0009,G2019-070,70,2019,70.21,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - BCO SURABAYA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00022,P0009,G2019-070,70,2019,70.22,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - BCO SURABAYA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00023,P0009,G2019-070,70,2019,70.23,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - BCO SURABAYA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00024,P0010,G2019-070,70,2019,70.24,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - KUPANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00025,P0010,G2019-070,70,2019,70.25,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - KUPANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
