profesi_id,program_studi,min_ipk
F00058,TEKNIK ELEKTRO,2.75
F00059,TEKNIK ELEKTRO,2.75
F00063,TEKNIK TELEKOMUNIKASI,3.0
F00064,TEKNIK TELEKOMUNIKASI,3.0
F00065,TEKNIK ELEKTRO,3.0
F00066,ENERGI BARU TERBARUKAN,3.0
F00066,TEKNIK ELEKTRO,3.0
F00066,TEKNIK KIMIA,3.0
F00067,DATA SCIENCE,3.0
F00068,ADMINISTRASI BISNIS,3.0
F00068,MANAJEMEN ASET,3.0
F00068,MANAJEMEN BISNIS,3.0
F00068,MANAJEMEN INVESTASI BANK,3.0
F00069,BIG DATA DAN BUSINESS INTELLIGENCE,3.0
F00069,DIGITAL MARKETING DAN ANALYTICS,3.0
F00070,HUKUM,3.0
F00071,TEKNIK INFORMATIKA,3.0
F00072,TEKNIK KIMIA,3.0
F00072,TEKNIK MESIN,3.0
F00072,ENERGI BARU TERBARUKAN,3.0
F00073,DATA SCIENCE,3.0
F00074,KEUANGAN,3.0
F00074,MANAJEMEN,3.0
F00074,MANAJEMEN KEUANGAN,3.0
F00074,TEKNIK INDUSTRI,3.0
F00081,TEKNIK ELEKTRO,2.5
F00082,TEKNIK ELEKTRO,2.5
F00083,TEKNIK SIPIL,2.5
F00084,TEKNIK MESIN,2.5
F00085,MANAJEMEN,2.5
F00085,MANAJEMEN BISNIS,2.5
F00085,MANAJEMEN PEMASARAN,2.5
F00085,TEKNIK INDUSTRI,2.5
F00086,AKUNTANSI,2.5
F00087,TEKNIK ELEKTRO,2.5
F00088,TEKNIK ELEKTRO,2.5
F00089,TEKNIK SIPIL,2.5
F00090,MANAJEMEN BISNIS,2.5
F00090,MANAJEMEN PEMASARAN,2.5
F00090,TEKNIK INDUSTRI,2.5
F00090,MANAJEMEN,2.5
F00091,TEKNIK MESIN,2.5
F00092,AKUNTANSI,2.5
F00093,TEKNIK ELEKTRO,2.5
F00094,TEKNIK ELEKTRO,2.5
F00095,TEKNIK SIPIL,2.5
F00096,TEKNIK MESIN,2.5
F00097,MANAJEMEN,2.5
F00097,MANAJEMEN BISNIS,2.5
F00097,MANAJEMEN PEMASARAN,2.5
F00097,TEKNIK INDUSTRI,2.5
F00098,AKUNTANSI,2.5
F00099,TEKNIK ELEKTRO,2.5
F00100,TEKNIK ELEKTRO,2.5
F00101,TEKNIK SIPIL,2.5
F00102,TEKNIK MESIN,2.5
F00103,MANAJEMEN BISNIS,2.5
F00103,MANAJEMEN PEMASARAN,2.5
F00103,TEKNIK INDUSTRI,2.5
F00104,AKUNTANSI,2.5
F00105,TEKNIK ELEKTRO,2.5
F00106,TEKNIK ELEKTRO,2.5
F00107,TEKNIK MESIN,2.5
F00108,TEKNIK SIPIL,2.5
F00109,AKUNTANSI,2.5
F00110,MANAJEMEN,2.5
F00110,MANAJEMEN BISNIS,2.5
F00110,MANAJEMEN PEMASARAN,2.5
F00110,TEKNIK INDUSTRI,2.5
F00111,TEKNIK ELEKTRO,2.5
F00112,TEKNIK ELEKTRO,2.5
F00113,TEKNIK SIPIL,2.5
F00114,TEKNIK MESIN,2.5
F00115,MANAJEMEN,2.5
F00115,MANAJEMEN BISNIS,2.5
F00115,MANAJEMEN PEMASARAN,2.5
F00115,TEKNIK INDUSTRI,2.5
F00116,AKUNTANSI,2.5
F00117,TEKNIK ELEKTRO,2.5
F00118,TEKNIK ELEKTRO,2.5
F00119,TEKNIK SIPIL,2.5
F00120,TEKNIK MESIN,2.5
F00121,MANAJEMEN,2.5
F00121,MANAJEMEN BISNIS,2.5
F00121,MANAJEMEN PEMASARAN,2.5
F00121,TEKNIK INDUSTRI,2.5
F00122,AKUNTANSI,2.5
F00123,TEKNIK ELEKTRO,2.5
F00124,TEKNIK ELEKTRO,2.5
F00125,TEKNIK MESIN,2.5
F00126,TEKNIK SIPIL,2.5
F00127,MANAJEMEN,2.5
F00127,MANAJEMEN BISNIS,2.5
F00127,MANAJEMEN PEMASARAN,2.5
F00127,TEKNIK INDUSTRI,2.5
F00128,AKUNTANSI,2.5
F00138,TEKNIK ELEKTRO,2.75
F00139,KEUANGAN,2.75
F00139,MANAJEMEN KEUANGAN,2.75
F00140,TEKNIK ELEKTRO,2.75
F00141,AKUNTANSI,2.75
F00142,MANAJEMEN BISNIS,2.75
F00142,MANAJEMEN PEMASARAN,2.75
F00142,TEKNIK INDUSTRI,2.75
F00143,TEKNIK SIPIL,2.75
F00144,TEKNIK ELEKTRO,2.75
F00145,TEKNIK MESIN,2.75
F00146,TEKNIK ELEKTRO,2.75
F00147,TEKNIK ELEKTRO,2.75
F00148,TEKNIK SIPIL,2.75
F00149,MANAJEMEN BISNIS,2.75
