program_id,gelombang_id,angkatan,tahun_program,judul,sumber_judul,jenis_program,perusahaan_penempatan,lokasi_tes,status,tgl_buka,tgl_tutup,pdf_brosur
P0001,G2019-007,7,2019,REKRUTMEN PRO HIRE PLN GROUP TAHUN 2019 - ASET PROPERTI,wayback,PRO_HIRE,,,CLOSED,,,
P0002,G2019-007,7,2019,REKRUTMEN PRO HIRE PLN GROUP TAHUN 2019 - JAKARTA,wayback,PRO_HIRE,,,CLOSED,,,
P0003,G2019-070,70,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - DENPASAR,wayback,REGULER,,,CLOSED,,,
P0004,G2019-070,70,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MAKASSAR,wayback,REGULER,,,CLOSED,,,
P0005,G2019-070,70,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PADANG,wayback,REGULER,,,CLOSED,,,
P0006,G2019-070,70,2019,REKRUTMEN UMUM MELALUI BURSA KARIR ITS KE-33 TINGKAT S1/D-IV DAN D-III,wayback,CAMPUS,,,CLOSED,,,
P0007,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - ACEH,wayback,REGULER,,,CLOSED,,,
P0008,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - AMBON,wayback,REGULER,,,CLOSED,,,
P0009,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - BCO SURABAYA,wayback,REGULER,,,CLOSED,,,
P0010,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - KUPANG,wayback,REGULER,,,CLOSED,,,
P0011,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - PEKANBARU,wayback,REGULER,,,CLOSED,,,
P0012,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - SURABAYA,wayback,REGULER,,,CLOSED,,,
P0013,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI BANDUNG,wayback,REGULER,,,CLOSED,,,
P0014,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI LAMPUNG,wayback,REGULER,,,CLOSED,,,
P0015,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI MANADO,wayback,REGULER,,,CLOSED,,,
P0016,G2019-070,70,2019,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI PONTIANAK,wayback,REGULER,,,CLOSED,,,
P0017,G2019-070,70,2019,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : JAYAPURA,wayback,REGULER,,,CLOSED,,,
P0018,G2019-070,70,2019,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : KUPANG,wayback,REGULER,,,CLOSED,,,
P0019,G2019-070,70,2019,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : PALEMBANG,wayback,REGULER,,,CLOSED,,,
P0020,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Balikpapan,wayback,REGULER,,,CLOSED,,,
P0021,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Bandar Lampung,wayback,REGULER,,,CLOSED,,,
P0022,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Denpasar,wayback,REGULER,,,CLOSED,,,
P0023,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Makassar,wayback,REGULER,,,CLOSED,,,
P0024,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Manado,wayback,REGULER,,,CLOSED,,,
P0025,G2019-070,70,2019,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Pekanbaru,wayback,REGULER,,,CLOSED,,,
P0026,G2019-070,70,2019,Rekrutmen Umum Unsyiah Career Day Tingkat S1/D.IV & D.III,wayback,CAMPUS,,,CLOSED,,,
P0027,G2019-071,71,2019,REKRUTMEN PLN GROUP S1/D4 & D3 - AIRLANGGA CAREER FAIR,wayback,CAMPUS,,,CLOSED,,,
P0028,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BALIKPAPAN,wayback,REGULER,,,CLOSED,,,
P0029,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BANDUNG,wayback,REGULER,,,CLOSED,,,
P0030,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - JAKARTA,wayback,REGULER,,,CLOSED,,,
P0031,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MEDAN,wayback,REGULER,,,CLOSED,,,
P0032,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PALEMBANG,wayback,REGULER,,,CLOSED,,,
P0033,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - YOGYAKARTA,wayback,REGULER,,,CLOSED,,,
P0034,G2019-071,71,2019,REKRUTMEN PLN GROUP TINGKAT S1/D4 &D3; (2019) - SURABAYA,wayback,REGULER,,,CLOSED,,,
P0035,G2019-072,72,2019,REKRUTMEN PLN GROUP S1/D-IV & D-III TAHUN 2019 LOKASI MEDAN,wayback,REGULER,,,CLOSED,,,
P0036,G2019-072,72,2019,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI BANJARMASIN,wayback,REGULER,,,CLOSED,,,
