program_studi,rumpun,bidang,kata_kunci_pemicu,n_profesi,n_program,sumber
ACCOUNTING,Akuntansi dan Perpajakan,NON-TEKNIK,ACCOUNTING,0,0,rbb
ADM.PERKANTORAN,Administrasi,NON-TEKNIK,ADM.,0,0,rbb
ADMINISITRASI BISNIS DAN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
ADMINISTRASI,Administrasi,NON-TEKNIK,ADMINISTRASI,25,7,profesi|programs|rbb
ADMINISTRASI AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
ADMINISTRASI AKUNTANSI PERPAJAKAN,Akuntansi dan Perpajakan,NON-TEKNIK,PERPAJAKAN,0,0,rbb
ADMINISTRASI ASURANSI DAN AKTUARIA,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI BISNIS,Manajemen dan Bisnis,NON-TEKNIK,ADMINISTRASI BISNIS,4,6,profesi|programs|rbb
ADMINISTRASI BISNIS DAN EKONOMI,Manajemen dan Bisnis,NON-TEKNIK,ADMINISTRASI BISNIS,0,0,rbb
ADMINISTRASI BISNIS DAN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
ADMINISTRASI BISNIS OTOMOTIF,Mesin dan Konversi Energi,TEKNIK,OTOMOTIF,0,0,rbb
ADMINISTRASI BISNIS USAHA PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,ADMINISTRASI BISNIS,0,0,rbb
ADMINISTRASI FISKAL,Akuntansi dan Perpajakan,NON-TEKNIK,ADMINISTRASI FISKAL,1,1,profesi|programs|rbb
ADMINISTRASI HOTEL,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI ILMU PENGETAHUAN SOSIAL,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI KANTOR DAN SEKRETARIS,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI KEBIJAKAN KESEHATAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI KESEHATAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
ADMINISTRASI KEUANGAN DAN PERBANKAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
ADMINISTRASI KEUANGAN PUBLIK,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
ADMINISTRASI LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,0,0,rbb
ADMINISTRASI NEGARA,Hukum,NON-TEKNIK,ADMINISTRASI NEGARA,0,0,rbb
ADMINISTRASI NIAGA,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PEMBANGUNAN NEGARA,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PEMERINTAHAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PENDIDIKAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PENDIDIKAN OLAHRAGA,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PERADILAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PERHOTELAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PERKANTORAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PERKANTORAN DAN SEKRETARI,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PERPAJAKAN,Akuntansi dan Perpajakan,NON-TEKNIK,PERPAJAKAN,0,0,rbb
ADMINISTRASI PERTANAHAN,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI PUBLIK,Hukum,NON-TEKNIK,ADMINISTRASI PUBLIK,0,0,rbb
