unit_induk,nama_pendek,bulan,realisasi
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2024-12,3859
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2025-11,3854
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2025-12,3890
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2026-01,3967
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2026-02,3959
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2026-03,3939
PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,2026-04,3920
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2024-12,434
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-01,433
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-02,442
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-03,441
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-04,440
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-05,439
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-06,439
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-07,434
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-08,434
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-11,436
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2025-12,433
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2026-01,433
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2026-02,433
