rumpun,bidang,n_prodi,n_profesi,porsi_permintaan
Manajemen dan Bisnis,NON-TEKNIK,208,62,0.1452
Elektro dan Ketenagalistrikan,TEKNIK,40,60,0.1405
Mesin dan Konversi Energi,TEKNIK,45,45,0.1054
Akuntansi dan Perpajakan,NON-TEKNIK,32,34,0.0796
Sipil dan Geodesi,TEKNIK,40,33,0.0773
Industri dan Rekayasa,TEKNIK,20,33,0.0773
Administrasi,NON-TEKNIK,30,25,0.0585
Lainnya Non-Teknik,NON-TEKNIK,1,25,0.0585
Lainnya Teknik,TEKNIK,1,25,0.0585
Komunikasi dan Humas,NON-TEKNIK,4,15,0.0351
Pemasaran dan Niaga,NON-TEKNIK,17,12,0.0281
Keuangan,NON-TEKNIK,29,12,0.0281
Hukum,NON-TEKNIK,7,11,0.0258
K3,TEKNIK,3,10,0.0234
Informatika dan Data,TEKNIK,38,9,0.0211
Psikologi dan SDM,NON-TEKNIK,3,8,0.0187
Kimia dan Lingkungan,TEKNIK,19,6,0.0141
Logistik dan Rantai Pasok,NON-TEKNIK,8,2,0.0047
