rumpun,sub_bidang,bidang_sub,bobot,sumber_bobot,catatan
Elektro dan Ketenagalistrikan,Distribusi,TEKNIK,0.4000,aturan,rumpun terbesar mengisi sub bidang terbesar
Elektro dan Ketenagalistrikan,Transmisi dan Gardu Induk,TEKNIK,0.2800,aturan,
Elektro dan Ketenagalistrikan,Proteksi dan Kontrol,TEKNIK,0.1200,aturan,satu-satunya rumpun yang mengisi Proteksi dan Kontrol
Elektro dan Ketenagalistrikan,Pembangkitan,TEKNIK,0.1000,aturan,porsi kecil karena pembangkitan sudah pindah ke subholding
Elektro dan Ketenagalistrikan,Perencanaan Sistem,TEKNIK,0.1000,aturan,
Mesin dan Konversi Energi,Pembangkitan,TEKNIK,0.4000,aturan,
Mesin dan Konversi Energi,Transmisi dan Gardu Induk,TEKNIK,0.2200,aturan,
Mesin dan Konversi Energi,Distribusi,TEKNIK,0.1800,aturan,
Mesin dan Konversi Energi,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.1200,aturan,
Mesin dan Konversi Energi,Perencanaan Sistem,TEKNIK,0.0800,aturan,
Sipil dan Geodesi,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.6200,aturan,
Sipil dan Geodesi,Transmisi dan Gardu Induk,TEKNIK,0.2200,aturan,pembangunan tower & gardu induk
Sipil dan Geodesi,Distribusi,TEKNIK,0.1600,aturan,
Industri dan Rekayasa,Perencanaan dan Kinerja,NON-TEKNIK,0.3200,aturan,
Industri dan Rekayasa,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.2800,aturan,
Industri dan Rekayasa,Niaga dan Pemasaran,NON-TEKNIK,0.1800,aturan,
Industri dan Rekayasa,Distribusi,TEKNIK,0.1200,aturan,
Industri dan Rekayasa,K3 dan Lingkungan,NON-TEKNIK,0.1000,aturan,
Informatika dan Data,Teknologi Informasi,NON-TEKNIK,0.7000,aturan,
Informatika dan Data,Perencanaan dan Kinerja,NON-TEKNIK,0.1800,aturan,data analitik & kinerja korporat
Informatika dan Data,Niaga dan Pemasaran,NON-TEKNIK,0.1200,aturan,
Kimia dan Lingkungan,K3 dan Lingkungan,NON-TEKNIK,0.5500,aturan,
Kimia dan Lingkungan,Pembangkitan,TEKNIK,0.3000,aturan,kimia bahan bakar & air
Kimia dan Lingkungan,Perencanaan Sistem,TEKNIK,0.1500,aturan,
