tahap_kode,nama,kategori,urutan,mode,lokasi,pemilik_proses,sistem_sumber,ada_kehadiran,skor_ada_di_sistem_asli,masuk_mandiri,masuk_rbb
administrasi,Seleksi Administrasi,seleksi,1,dokumen,n/a,PLN_HTD,rekrutmen.pln.co.id,False,False,True,False
adaptif,Tes Adaptif PLN (TAP),seleksi,2,online,rumah,PLN_HTD,rekrutmen.pln.co.id,True,False,True,False
akademik_inggris,Tes Akademik (TKB) & Bahasa Inggris,seleksi,3,online,rumah,PLN_HTD,seleksi.pln.co.id,True,False,True,True
psikologi,Tes Psikologi,seleksi,4,offline,kota_terkunci,VENDOR,rekrutmen.pln.co.id (hasil di-upload),True,False,True,True
fisik_mcu,Tes Fisik & Medical Check-Up,seleksi,5,offline,kota_terkunci,VENDOR,rekrutmen.pln.co.id (hasil di-upload),True,False,True,True
wawancara,Wawancara User & HR,seleksi,6,offline,kota_terkunci,PLN_USER,rekrutmen.pln.co.id,True,False,True,True
fhci_administrasi,Seleksi Administrasi (FHCI),fhci_agregat,-3,online,n/a,FHCI,rekrutmenbersama.fhcibumn.id,False,False,False,True
fhci_tes_online_1,"Tes Online 1: TKD, AKHLAK, TWK",fhci_agregat,-2,online,n/a,FHCI,rekrutmenbersama.fhcibumn.id,False,False,False,True
fhci_tes_online_2,"Tes Online 2: Inggris, Learning Agility",fhci_agregat,-1,online,n/a,FHCI,rekrutmenbersama.fhcibumn.id,False,False,False,True
pengumuman_akhir,Pengumuman Hasil Seleksi,pasca,100,,,PLN_HTD,rekrutmen.pln.co.id,,,True,True
ttd_kontrak,Penandatanganan Perjanjian,pasca,101,,,PLN_HTD,rekrutmen.pln.co.id,,,True,True
samapta,SAMAPTA,pasca,102,,,PUSDIKLAT,aplikasi Pusdiklat,,,True,True
pembidangan,Penetapan Pembidangan,pasca,103,,,PUSDIKLAT,aplikasi Pusdiklat,,,True,True
ojt,Diklat Prajabatan / First OJT,pasca,104,,,PUSDIKLAT,aplikasi Pusdiklat,,,True,True
ujian_ojt,Ujian Akhir OJT,pasca,105,,,PUSDIKLAT,aplikasi Pusdiklat,,,True,True
sk_penempatan,SK Pengangkatan & Penempatan,pasca,106,,,PLN_HTD,rekrutmen.pln.co.id,,,True,True
