unit_induk,kode_cocd,nama_pendek,jenis_unit,jumlah_pegawai,ftk_2024,ftk_2025,realisasi_des_2025,realisasi_mar_2026,realisasi_apr_2026
PT PLN (PERSERO) KANTOR PUSAT,1000,Kantor Pusat,KP,3896,4061,3994,3890,3939,3920
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),8200,PUSDIKLAT,PUSAT,433,457,430,433,432,
PT PLN (PERSERO) PUSAT SERTIFIKASI,8600,PUSERTIF,PUSAT,260,279,265,260,260,
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,8400,PUSHARLIS,PUSAT,232,247,236,232,235,
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,8100,PUSLITBANG,PUSAT,98,105,100,98,96,
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,8500,PUSMANPRO,PUSAT,367,397,380,367,367,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,6100,UID Aceh,UID,798,853,800,798,800,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,5500,UID Bali,UID,551,596,566,551,547,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,5600,UID Banten,UID,777,834,798,778,773,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,5400,UID Jakarta Raya,UID,1341,1440,1362,1341,1325,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,5300,UID Jawa Barat,UID,2022,2160,2073,2022,2014,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,5200,UID Jawa Tengah & DIY,UID,1643,1775,1516,1647,1654,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,5200,UID Jawa Tengah & DIY,UID,4,0,144,0,4,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,5100,UID Jawa Timur,UID,2054,2259,2087,2054,2046,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,6800,UID Kalbar,UID,664,726,684,664,670,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,7100,UID Kalselteng,UID,779,850,808,779,778,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,7200,UID Kaltimra,UID,691,743,718,691,685,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,6700,UID Lampung,UID,548,581,553,548,548,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,6400,UID Riau & Kepri,UID,782,829,786,782,807,
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",6500,UID S2JB,UID,969,1019,978,969,964,
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",7400,UID Sulselrabar,UID,1376,1480,1380,1376,1374,
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",7300,UID Suluttenggo,UID,988,1065,1012,988,986,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,6300,UID Sumbar,UID,759,807,762,759,752,
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,6200,UID Sumut,UID,1273,1340,1261,1273,1274,
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2200,UIK Tanjung Jati B,UIK,75,81,77,75,74,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,4E00,UIP JBB,UIP,255,271,271,255,253,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TENGAH,4P00,UIP JBT,UIP,269,282,282,269,266,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN TIMUR DAN BALI,4G00,UIP JBTB,UIP,210,219,219,210,214,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN BARAT,4R00,UIP Kalimantan Bag Barat,UIP,143,148,148,143,142,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN KALIMANTAN BAGIAN TIMUR,4J00,UIP Kalimantan Bag Timur,UIP,185,205,205,185,185,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN MALUKU DAN PAPUA,4N00,UIP Maluku dan Papua,UIP,151,169,169,151,159,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN NUSA TENGGARA,4K00,UIP Nusa Tenggara,UIP,153,162,162,153,153,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SULAWESI,4M00,UIP Sulawesi,UIP,240,246,246,240,243,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN SELATAN,4C00,UIP Sumatera Bag Selatan,UIP,210,213,213,210,211,
