kode_unit_pelaksana,unit_induk,nama_pendek,nama_lengkap,jenis_unit,jumlah_pegawai
1001,PT PLN (PERSERO) KANTOR PUSAT,Kantor Pusat,Kantor Pusat,KANTOR INDUK,3896
8501,PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,UNIT PELAKSANA MANAJEMEN KONSTRUKSI II,UPMK,367
8401,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,PUSHARLIS,KANTOR INDUK,71
8411,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W I,UNIT PELAKSANA PRODUKSI DAN WORKSHOP I,UP2W,20
8412,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W II,UNIT PELAKSANA PRODUKSI DAN WORKSHOP II,UP2W,24
8413,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W III,UNIT PELAKSANA PRODUKSI DAN WORKSHOP III,UP2W,31
8414,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W IV,UNIT PELAKSANA PRODUKSI DAN WORKSHOP IV,UP2W,30
8415,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W V,UNIT PELAKSANA PRODUKSI DAN WORKSHOP V,UP2W,28
8416,PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,UP2W VI,UNIT PELAKSANA PRODUKSI DAN WORKSHOP VI,UP2W,28
8201,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,PUSDIKLAT,KANTOR INDUK,145
8221,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPAC,UNIT PELAKSANA ASSESSMENT CENTER,UPAC,23
8219,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Banjarbaru,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BANJARBARU,UPDL,16
