updl_id,nama,nama_lengkap,unit_induk,jumlah_pegawai
8219,UPDL Banjarbaru,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BANJARBARU,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),16
8211,UPDL Bogor,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BOGOR,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),17
8212,UPDL Jakarta,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN JAKARTA,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),18
8216,UPDL Makassar,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN MAKASSAR,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),18
8218,UPDL Padang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PADANG,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),18
8220,UPDL Palembang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PALEMBANG,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),23
8214,UPDL Pandaan,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PANDAAN,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),27
8213,UPDL Semarang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SEMARANG,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),29
8224,UPDL Surabaya,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURABAYA,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),27
8217,UPDL Suralaya,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURALAYA,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),16
8215,UPDL Tuntungan,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN TUNTUNGAN,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),21
