vendor_id,nama,tipe_layanan,kota_basis,status_sumber,rujukan
VEND01,Klinik Prodia,fisik_mcu,Medan,,"F-061 -- 'Klinik Prodia, Medan', tes fisik & lab 2015"
VEND02,Prodia Widyahusada,fisik_mcu,Jakarta,DIMODELKAN,"Jaringan lab nasional yang sama dgn VEND01 (real, multi-cabang) -- cakupan kota lain DIMODELKAN"
VEND03,Prodia Widyahusada,fisik_mcu,Surabaya,DIMODELKAN,"cabang Prodia lain (jaringan real, penempatan kota DIMODELKAN)"
VEND04,Kimia Farma Diagnostika,fisik_mcu,Makassar,DIMODELKAN,"BUMN farmasi, punya lini lab klinik nasional -- nama real, penempatan kota DIMODELKAN"
VEND05,Kimia Farma Diagnostika,fisik_mcu,Palembang,DIMODELKAN,cabang Kimia Farma Diagnostika lain -- DIMODELKAN
VEND06,Kimia Farma Diagnostika,fisik_mcu,Balikpapan,DIMODELKAN,cabang Kimia Farma Diagnostika lain -- DIMODELKAN
VEND07,Lembaga Psikologi Terapan UI (LPT UI),psikologi,Jakarta,DIMODELKAN,"unit layanan psikologi terapan Fakultas Psikologi UI -- nama real, penunjukan DIMODELKAN"
VEND08,Daya Dimensi Indonesia (DDI),psikologi,nasional,DIMODELKAN,"assessment center nasional real, mewakili vendor psikotes yg melayani banyak kota_terkunci sekaligus"
VEND09,UPAC PLN (Corporate University),psikologi,nasional,DIMODELKAN,"unit assessment center internal PLN Corporate University -- nama real, dipakai utk kota tanpa vendor eksternal"
VEND10,Bina Talenta,psikologi,Surabaya,DIMODELKAN,biro psikologi real yg beroperasi di beberapa kota besar -- penunjukan DIMODELKAN
