urutan,kata_kunci,bidang,sub_bidang,bidang_pembidangan,catatan
10,PDKB GI,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,PDKB tegangan tinggi
11,PDKB GITET,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
12,PDKB SUTT,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
13,PDKB SUTET,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
14,GARDU INDUK,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
15,GITET,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
16,TRANSMISI,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
17,PENYALURAN,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
18,SUTT,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
19,SUTET,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
30,PROTEKSI,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,
31,SCADA,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,
32,OTOMASI,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,
33,RTU,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,remote terminal unit
34,TELEKOMUNIKASI,TEKNIK,Proteksi dan Kontrol,Proteksi dan Kontrol,
40,PUSAT LISTRIK,TEKNIK,Pembangkitan,Pembangkitan,
41,PEMBANGKITAN,TEKNIK,Pembangkitan,Pembangkitan,
42,PEMBANGKIT,TEKNIK,Pembangkitan,Pembangkitan,
43,ENERGI PRIMER,TEKNIK,Pembangkitan,Pembangkitan,
44,BAHAN BAKAR,TEKNIK,Pembangkitan,Pembangkitan,
45,EXCESS POWER,TEKNIK,Pembangkitan,Pembangkitan,
46,IPP,TEKNIK,Pembangkitan,Pembangkitan,independent power producer
50,PERENCANAAN SISTEM,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
51,SISTEM KELISTRIKAN,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
52,PENGATURAN OPERASI,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
53,PENGATUR BEBAN,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
54,OPERASI SISTEM,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
55,KEANDALAN,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
60,TEKNIK LAYANAN PELANGGAN,TEKNIK,Distribusi,Distribusi,harus di atas PELAYANAN PELANGGAN
61,TRANSAKSI ENERGI,TEKNIK,Distribusi,Distribusi,
62,DISTRIBUSI,TEKNIK,Distribusi,Distribusi,
63,PDKB,TEKNIK,Distribusi,Distribusi,PDKB tanpa embel GI/SUTT = distribusi
64,PENGENDALIAN SUSUT,TEKNIK,Distribusi,Distribusi,
65,PEMBACAAN METER,TEKNIK,Distribusi,Distribusi,
66,LISTRIK PERDESAAN,TEKNIK,Distribusi,Distribusi,
67,PELAYANAN TEKNIK,TEKNIK,Distribusi,Distribusi,yantek
68,JARINGAN,TEKNIK,Distribusi,Distribusi,
69,OPERASI DAN PEMELIHARAAN,TEKNIK,Distribusi,Distribusi,
47,ELEKTROMEKANIK,TEKNIK,Pembangkitan,Pembangkitan,
56,ENJINIRING SIPIL,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,harus di atas ENJINIRING
57,ENJINIRING,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
58,EVALUASI SISTEM,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,
59,ASESMEN GI,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,asesmen gardu induk & GIS
70,AUTOMATIC METER READING,TEKNIK,Distribusi,Distribusi,
71,METER,TEKNIK,Distribusi,Distribusi,
90,ASESMEN,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
91,COACHING,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
100,PENGADAAN TANAH,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
107,KONTRAK,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
108,SIPIL,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
101,PENGADAAN,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
102,LOGISTIK,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
103,KONSTRUKSI,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
