minat_profesi,tipe,sub_bidang,bidang_pembidangan,catatan
Enjiniring Distribusi,profesi,Distribusi,Distribusi,
Enjiniring Transmisi dan Gardu Induk,profesi,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
Enjiniring Pembangkitan,profesi,Pembangkitan,Pembangkitan,
Pemeliharaan Distribusi,profesi,Distribusi,Distribusi,minat terbanyak bersama Transmisi -- 11 program
Pemeliharaan Transmisi dan Gardu Induk,profesi,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,
Pemeliharaan Pembangkitan,profesi,Pembangkitan,Pembangkitan,10 program tapi kursi holding cuma 613 pegawai G1+G2 -- lihat peringatan pembidangan
Perencanaan Pembangkitan,profesi,Perencanaan Sistem,Perencanaan Sistem,
Niaga,profesi,Niaga dan Pemasaran,Niaga,
Pemasaran dan Pelayanan Pelanggan,profesi,Niaga dan Pemasaran,Niaga,
Akuntansi,profesi,Keuangan dan Akuntansi,Keuangan,
Manajemen Keuangan,profesi,Keuangan dan Akuntansi,Keuangan,
Manajemen Konstruksi,profesi,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
Manajemen Perusahaan,profesi,Perencanaan dan Kinerja,SDM,
Hukum,profesi,Hukum dan Kepatuhan,SDM,program bidang khusus Hukum 2023 & 2025
Data Analitik,profesi,Teknologi Informasi,SDM,sasaran program bidang khusus Matematika 2025
Manajemen Digital,profesi,Teknologi Informasi,SDM,
Teknologi Informasi,profesi,Teknologi Informasi,SDM,
Pembangunan dan Aktivasi (Icon+),profesi,Teknologi Informasi,SDM,subholding Icon Plus
Pemeliharaan dan Aset (Icon+),profesi,Teknologi Informasi,SDM,subholding Icon Plus
