urutan,kata_kunci,rumpun,bidang,catatan
10,PROGRAM STUDI LAINNYA NON TEKNIK,Lainnya Non-Teknik,NON-TEKNIK,payung resmi di profesi.csv -- WAJIB sebelum aturan 'LAINNYA TEKNIK' karena memuat kata TEKNIK
11,PROGRAM STUDI LAINNYA TEKNIK,Lainnya Teknik,TEKNIK,payung resmi di profesi.csv
20,KESEHATAN MASYARAKAT K3,K3,TEKNIK,
21,KESELAMATAN DAN KESEHATAN KERJA,K3,TEKNIK,
22,SAFETY ENGINEERING,K3,TEKNIK,
23,HIPERKES,K3,TEKNIK,
30,TEKNIK LINGKUNGAN,Kimia dan Lingkungan,TEKNIK,
31,TEKNIK KIMIA,Kimia dan Lingkungan,TEKNIK,
32,TEKNIK FISIKA,Elektro dan Ketenagalistrikan,TEKNIK,instrumentasi & kontrol -- lebih dekat ke proteksi/kontrol daripada kimia
40,TEKNIK INFORMATIKA,Informatika dan Data,TEKNIK,
41,TEKNIK TELEKOMUNIKASI,Informatika dan Data,TEKNIK,
42,TEKNIK KOMPUTER,Informatika dan Data,TEKNIK,
43,DATA SCIENCE,Informatika dan Data,TEKNIK,
44,BIG DATA,Informatika dan Data,TEKNIK,
45,BUSINESS INTELLIGENCE,Informatika dan Data,TEKNIK,
46,SISTEM INFORMASI,Informatika dan Data,TEKNIK,
47,ILMU KOMPUTER,Informatika dan Data,TEKNIK,
48,INFORMATIKA,Informatika dan Data,TEKNIK,
50,TEKNIK GEODESI,Sipil dan Geodesi,TEKNIK,
51,TEKNIK GEOLOGI,Sipil dan Geodesi,TEKNIK,
52,TEKNIK SIPIL,Sipil dan Geodesi,TEKNIK,
53,ARSITEKTUR,Sipil dan Geodesi,TEKNIK,
54,PLANOLOGI,Sipil dan Geodesi,TEKNIK,
55,RANCANG KOTA,Sipil dan Geodesi,TEKNIK,
60,TEKNIK INDUSTRI,Industri dan Rekayasa,TEKNIK,
61,TEKNIK MATERIAL,Industri dan Rekayasa,TEKNIK,
62,TEKNIK METALURGI,Industri dan Rekayasa,TEKNIK,
70,KONVERSI ENERGI,Mesin dan Konversi Energi,TEKNIK,
71,ENERGI BARU TERBARUKAN,Mesin dan Konversi Energi,TEKNIK,
72,TEKNIK ENERGI,Mesin dan Konversi Energi,TEKNIK,
73,TEKNIK MESIN,Mesin dan Konversi Energi,TEKNIK,
80,TEKNIK ELEKTRO,Elektro dan Ketenagalistrikan,TEKNIK,rumpun terbesar -- 58 kemunculan di profesi.csv
81,TEKNIK LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,
82,TEKNIK TENAGA LISTRIK,Elektro dan Ketenagalistrikan,TEKNIK,
83,INSTRUMENTASI,Elektro dan Ketenagalistrikan,TEKNIK,
84,MEKATRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,
85,ELEKTRONIKA,Elektro dan Ketenagalistrikan,TEKNIK,
90,ADMINISTRASI FISKAL,Akuntansi dan Perpajakan,NON-TEKNIK,WAJIB sebelum aturan ADMINISTRASI
91,PERPAJAKAN,Akuntansi dan Perpajakan,NON-TEKNIK,
92,PAJAK,Akuntansi dan Perpajakan,NON-TEKNIK,
93,AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,
94,ACCOUNTING,Akuntansi dan Perpajakan,NON-TEKNIK,
100,MANAJEMEN KEUANGAN,Keuangan,NON-TEKNIK,WAJIB sebelum aturan MANAJEMEN
101,MANAJEMEN INVESTASI,Keuangan,NON-TEKNIK,
102,KEUANGAN,Keuangan,NON-TEKNIK,
103,PERBANKAN,Keuangan,NON-TEKNIK,
110,MANAJEMEN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,WAJIB sebelum aturan MANAJEMEN
111,DIGITAL MARKETING,Pemasaran dan Niaga,NON-TEKNIK,
112,PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,
113,MARKETING,Pemasaran dan Niaga,NON-TEKNIK,
120,SUPPLY CHAIN,Logistik dan Rantai Pasok,NON-TEKNIK,
121,LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,
122,MANAJEMEN RANTAI PASOK,Logistik dan Rantai Pasok,NON-TEKNIK,
130,MANAJEMEN ASET,Manajemen dan Bisnis,NON-TEKNIK,
131,MANAJEMEN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,
132,ADMINISTRASI BISNIS,Manajemen dan Bisnis,NON-TEKNIK,WAJIB sebelum aturan ADMINISTRASI
133,BISNIS ANALIS,Manajemen dan Bisnis,NON-TEKNIK,
134,BISNIS,Manajemen dan Bisnis,NON-TEKNIK,
135,EKONOMI,Manajemen dan Bisnis,NON-TEKNIK,
136,MANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,jaring terakhir untuk semua varian MANAJEMEN
