kota,lat,lon
Makassar,-5.1477,119.4327
Surabaya,-7.2575,112.7521
Palembang,-2.9761,104.7754
Balikpapan,-1.2379,116.8529
Jakarta,-6.2088,106.8456
Medan,3.5952,98.6722
Merauke,-8.4700,140.4000
Nabire,-3.3667,135.4833
Sorong,-0.8833,131.2500
Wamena,-4.0847,138.9450
Timika,-4.5461,136.8873
Kupang,-10.1772,123.6070
Ambon,-3.6954,128.1814
Mataram,-8.5833,116.1167
Jayapura,-2.5337,140.7181
Manokwari,-0.8615,134.0620
Serang,-6.1149,106.1503
Pangkal Pinang,-2.1316,106.1169
Biak,-1.1667,136.0833
Mamuju,-2.6786,118.8886
Samarinda,-0.5022,117.1536
Bengkulu,-3.7928,102.2608
Batam,1.0456,104.0305
Padang,-0.9471,100.4172
Kendari,-3.9450,122.4989
Banda Aceh,5.5483,95.3238
Tanjung Pinang,0.9186,104.4453
Yogyakarta,-7.7956,110.3695
Palu,-0.8917,119.8707
Semarang,-6.9667,110.4167
Pekanbaru,0.5333,101.4500
Gorontalo,0.5417,123.0594
Jambi,-1.6100,103.6167
Palangka Raya,-2.2090,113.9213
Bandar Lampung,-5.4292,105.2610
Ternate,0.7833,127.3667
Sofifi,0.7500,127.5167
Denpasar,-8.6705,115.2126
Manado,1.4748,124.8421
Banjarmasin,-3.3186,114.5944
Pontianak,-0.0263,109.3425
Bandung,-6.9175,107.6191
Ende,-8.8432,121.6623
